,date,closing price
0,2017-01-04,521.7
1,2017-01-05,529.6
2,2017-01-06,529.6
3,2017-01-10,528.7
4,2017-01-11,533.9
5,2017-01-12,529.6
6,2017-01-13,531.3
7,2017-01-16,537.4
8,2017-01-17,534.8
9,2017-01-18,532.2
10,2017-01-19,539.1
11,2017-01-20,540
12,2017-01-23,547.8
13,2017-01-24,552.2
14,2017-01-25,555.7
15,2017-01-26,555.7
16,2017-01-27,548.7
17,2017-01-30,555.7
18,2017-01-31,563.5
19,2017-02-01,560.9
20,2017-02-02,552.2
21,2017-02-03,542.6
22,2017-02-06,552.2
23,2017-02-07,543.5
24,2017-02-08,540.9
25,2017-02-09,535.7
26,2017-02-10,534.8
27,2017-02-13,538.3
28,2017-02-14,539.1
29,2017-02-15,551.3
30,2017-02-16,552.2
31,2017-02-17,553.9
32,2017-02-20,560
33,2017-02-21,560
34,2017-02-22,556.5
35,2017-02-23,583.5
36,2017-02-24,589.6
37,2017-02-27,589.6
38,2017-02-28,589.6
39,2017-03-01,676.5
40,2017-03-02,807
41,2017-03-03,719.1
42,2017-03-06,693.9
43,2017-03-07,678.3
44,2017-03-08,675.7
45,2017-03-09,678.3
46,2017-03-10,678.3
47,2017-03-13,673.9
48,2017-03-14,654.8
49,2017-03-15,659.1
50,2017-03-16,662.6
51,2017-03-17,668.7
52,2017-03-21,690.4
53,2017-03-22,685.2
54,2017-03-23,693.9
55,2017-03-24,690.4
56,2017-03-27,686.1
57,2017-03-28,690.4
58,2017-03-29,672.2
59,2017-03-30,656.5
60,2017-03-31,647.8
61,2017-04-03,640
62,2017-04-04,599.1
63,2017-04-05,623.5
64,2017-04-06,605.2
65,2017-04-07,604.4
66,2017-04-10,606.1
67,2017-04-11,594.8
68,2017-04-12,588.7
69,2017-04-13,587
70,2017-04-14,575.7
71,2017-04-17,575.7
72,2017-04-18,597.4
73,2017-04-19,608.7
74,2017-04-20,598.3
75,2017-04-21,600
76,2017-04-24,601.7
77,2017-04-25,601.7
78,2017-04-26,599.1
79,2017-04-27,602.6
80,2017-04-28,603.5
81,2017-05-01,602.6
82,2017-05-02,607
83,2017-05-08,618.3
84,2017-05-09,619.1
85,2017-05-10,619.1
86,2017-05-11,623.5
87,2017-05-12,609.6
88,2017-05-15,603.5
89,2017-05-16,603.5
90,2017-05-17,604.4
91,2017-05-18,600
92,2017-05-19,607
93,2017-05-22,605.2
94,2017-05-23,608.7
95,2017-05-24,607.8
96,2017-05-25,607
97,2017-05-26,611.3
98,2017-05-29,610.4
99,2017-05-30,608.7
100,2017-05-31,610.4
101,2017-06-01,613
102,2017-06-02,610.4
103,2017-06-05,610.4
104,2017-06-06,608.7
105,2017-06-07,614.8
106,2017-06-08,620.9
107,2017-06-09,626.1
108,2017-06-12,630.4
109,2017-06-13,644.4
110,2017-06-14,653.9
111,2017-06-15,654.8
112,2017-06-16,639.1
113,2017-06-19,632.2
114,2017-06-20,649.6
115,2017-06-21,650.4
116,2017-06-22,652.2
117,2017-06-23,660.9
118,2017-06-26,651.3
119,2017-06-27,655.7
120,2017-06-28,654.8
121,2017-06-29,671.3
122,2017-06-30,657.4
123,2017-07-03,660.9
124,2017-07-04,659.1
125,2017-07-05,665.2
126,2017-07-06,682.6
127,2017-07-07,680.9
128,2017-07-10,688.7
129,2017-07-11,688.7
130,2017-07-12,687
131,2017-07-13,693.9
132,2017-07-14,689.6
133,2017-07-18,689.6
134,2017-07-19,695.7
135,2017-07-20,706.1
136,2017-07-21,713
137,2017-07-24,720
138,2017-07-25,714.8
139,2017-07-26,710.4
140,2017-07-27,709.6
141,2017-07-28,700
142,2017-07-31,696.5
143,2017-08-01,706.1
144,2017-08-02,720
145,2017-08-03,713
146,2017-08-04,712.2
147,2017-08-07,726.1
148,2017-08-08,732.2
149,2017-08-09,724.4
150,2017-08-10,713.9
151,2017-08-14,715.7
152,2017-08-15,742.6
153,2017-08-16,741.7
154,2017-08-17,742.6
155,2017-08-18,741.7
156,2017-08-21,743.5
157,2017-08-22,760.9
158,2017-08-23,773
159,2017-08-24,773.9
160,2017-08-25,787
161,2017-08-28,778.3
162,2017-08-29,793.9
163,2017-08-30,924.4
164,2017-08-31,1185.2
165,2017-09-01,1113
166,2017-09-04,974.8
167,2017-09-05,979.1
168,2017-09-06,1051.3
169,2017-09-07,1007.8
170,2017-09-08,1000
171,2017-09-11,1018.3
172,2017-09-12,1034.8
173,2017-09-13,1053
174,2017-09-14,1047.8
175,2017-09-15,1087
176,2017-09-19,1105.2
177,2017-09-20,1110.4
178,2017-09-21,1121.7
179,2017-09-22,1119.1
180,2017-09-25,1095.7
181,2017-09-26,1158.3
182,2017-09-27,1167
183,2017-09-28,1186
184,2017-09-29,1196
185,2017-10-02,1252
186,2017-10-03,1290
187,2017-10-04,1280
188,2017-10-05,1313
189,2017-10-06,1429
190,2017-10-10,1417
191,2017-10-11,1470
192,2017-10-12,1590
193,2017-10-13,1905
194,2017-10-16,1737
195,2017-10-17,1628
196,2017-10-18,1573
197,2017-10-19,1524
198,2017-10-20,1574
199,2017-10-23,1688
200,2017-10-24,1830
201,2017-10-25,1793
202,2017-10-26,1826
203,2017-10-27,1864
204,2017-10-30,1752
205,2017-10-31,1732
206,2017-11-01,1737
207,2017-11-02,1751
208,2017-11-06,1729
209,2017-11-07,1597
210,2017-11-08,1552
211,2017-11-09,1507
212,2017-11-10,1418
213,2017-11-13,1413
214,2017-11-15,1323
215,2017-11-16,1369
216,2017-11-17,1432
217,2017-11-20,1464
218,2017-11-21,1539
219,2017-11-22,1625
220,2017-11-24,1541
221,2017-11-27,1453
222,2017-11-28,1440
223,2017-11-29,1508
224,2017-11-30,1507
225,2017-12-01,1441
226,2017-12-04,1424
227,2017-12-05,1392
228,2017-12-06,1354
229,2017-12-07,1387
230,2017-12-08,1394
231,2017-12-11,1335
232,2017-12-12,1346
233,2017-12-13,1356
234,2017-12-14,1359
235,2017-12-15,1363
236,2017-12-18,1384
237,2017-12-19,1316
238,2017-12-20,1322
239,2017-12-21,1333
240,2017-12-22,1364
241,2017-12-25,1364
242,2017-12-26,1343
243,2017-12-27,1339
244,2017-12-28,1365
245,2017-12-29,1356
