,date,closing price
0,2014-01-06,1588
1,2014-01-07,1568
2,2014-01-08,1584
3,2014-01-09,1568
4,2014-01-10,1584
5,2014-01-14,1544
6,2014-01-15,1562
7,2014-01-16,1568
8,2014-01-17,1598
9,2014-01-20,1590
10,2014-01-21,1582
11,2014-01-22,1566
12,2014-01-23,1546
13,2014-01-24,1502
14,2014-01-27,1474
15,2014-01-28,1454
16,2014-01-29,1520
17,2014-01-30,1456
18,2014-01-31,1470
19,2014-02-03,1464
20,2014-02-04,1312
21,2014-02-05,1338
22,2014-02-06,1332
23,2014-02-07,1374
24,2014-02-10,1374
25,2014-02-12,1436
26,2014-02-13,1464
27,2014-02-14,1442
28,2014-02-17,1460
29,2014-02-18,1492
30,2014-02-19,1482
31,2014-02-20,1454
32,2014-02-21,1506
33,2014-02-24,1502
34,2014-02-25,1540
35,2014-02-26,1522
36,2014-02-27,1492
37,2014-02-28,1494
38,2014-03-03,1478
39,2014-03-04,1508
40,2014-03-05,1512
41,2014-03-06,1530
42,2014-03-07,1526
43,2014-03-10,1520
44,2014-03-11,1536
45,2014-03-12,1530
46,2014-03-13,1536
47,2014-03-14,1492
48,2014-03-17,1444
49,2014-03-18,1470
50,2014-03-19,1454
51,2014-03-20,1410
52,2014-03-24,1492
53,2014-03-25,1526
54,2014-03-26,1546
55,2014-03-27,1560
56,2014-03-28,1596
57,2014-03-31,1582
58,2014-04-01,1596
59,2014-04-02,1594
60,2014-04-03,1588
61,2014-04-04,1594
62,2014-04-07,1554
63,2014-04-08,1502
64,2014-04-09,1488
65,2014-04-10,1466
66,2014-04-11,1438
67,2014-04-14,1462
68,2014-04-15,1448
69,2014-04-16,1496
70,2014-04-17,1498
71,2014-04-18,1476
72,2014-04-21,1478
73,2014-04-22,1462
74,2014-04-23,1474
75,2014-04-24,1474
76,2014-04-25,1490
77,2014-04-28,1480
78,2014-04-30,1458
79,2014-05-01,1492
80,2014-05-02,1482
81,2014-05-07,1424
82,2014-05-08,1440
83,2014-05-09,1450
84,2014-05-12,1446
85,2014-05-13,1530
86,2014-05-14,1598
87,2014-05-15,1594
88,2014-05-16,1574
89,2014-05-19,1546
90,2014-05-20,1542
91,2014-05-21,1534
92,2014-05-22,1574
93,2014-05-23,1588
94,2014-05-26,1596
95,2014-05-27,1584
96,2014-05-28,1602
97,2014-05-29,1588
98,2014-05-30,1616
99,2014-06-02,1642
100,2014-06-03,1614
101,2014-06-04,1636
102,2014-06-05,1654
103,2014-06-06,1644
104,2014-06-09,1692
105,2014-06-10,1746
106,2014-06-11,1746
107,2014-06-12,1744
108,2014-06-13,1748
109,2014-06-16,1770
110,2014-06-17,1782
111,2014-06-18,1796
112,2014-06-19,1820
113,2014-06-20,1814
114,2014-06-23,1830
115,2014-06-24,1832
116,2014-06-25,1792
117,2014-06-26,1786
118,2014-06-27,1762
119,2014-06-30,1786
120,2014-07-01,1802
121,2014-07-02,1840
122,2014-07-03,1828
123,2014-07-04,1824
124,2014-07-07,1830
125,2014-07-08,1904
126,2014-07-09,1860
127,2014-07-10,1846
128,2014-07-11,1850
129,2014-07-14,1868
130,2014-07-15,1850
131,2014-07-16,1848
132,2014-07-17,1850
133,2014-07-18,1860
134,2014-07-22,1882
135,2014-07-23,1844
136,2014-07-24,1842
137,2014-07-25,1858
138,2014-07-28,1852
139,2014-07-29,1860
140,2014-07-30,1882
141,2014-07-31,1884
142,2014-08-01,1838
143,2014-08-04,1852
144,2014-08-05,1788
145,2014-08-06,1780
146,2014-08-07,1776
147,2014-08-08,1738
148,2014-08-11,1788
149,2014-08-12,1828
150,2014-08-13,1856
151,2014-08-14,1880
152,2014-08-15,1878
153,2014-08-18,1878
154,2014-08-19,1880
155,2014-08-20,1876
156,2014-08-21,1890
157,2014-08-22,1878
158,2014-08-25,1878
159,2014-08-26,1878
160,2014-08-27,1862
161,2014-08-28,1836
162,2014-08-29,1840
163,2014-09-01,1842
164,2014-09-02,1854
165,2014-09-03,1854
166,2014-09-04,1860
167,2014-09-05,1834
168,2014-09-08,1840
169,2014-09-09,1822
170,2014-09-10,1848
171,2014-09-11,1846
172,2014-09-12,1838
173,2014-09-16,1878
174,2014-09-17,1840
175,2014-09-18,1866
176,2014-09-19,1894
177,2014-09-22,1890
178,2014-09-24,1880
179,2014-09-25,1912
180,2014-09-26,1914
181,2014-09-29,1920
182,2014-09-30,1878
183,2014-10-01,1916
184,2014-10-02,1822
185,2014-10-03,1802
186,2014-10-06,1808
187,2014-10-07,1766
188,2014-10-08,1752
189,2014-10-09,1716
190,2014-10-10,1684
191,2014-10-14,1648
192,2014-10-15,1672
193,2014-10-16,1612
194,2014-10-17,1584
195,2014-10-20,1662
196,2014-10-21,1640
197,2014-10-22,1694
198,2014-10-23,1688
199,2014-10-24,1684
200,2014-10-27,1700
201,2014-10-28,1680
202,2014-10-29,1714
203,2014-10-30,1742
204,2014-10-31,1818
205,2014-11-04,1836
206,2014-11-05,1840
207,2014-11-06,1854
208,2014-11-07,1700
209,2014-11-10,1654
210,2014-11-11,1636
211,2014-11-12,1662
212,2014-11-13,1680
213,2014-11-14,1682
214,2014-11-17,1632
215,2014-11-18,1658
216,2014-11-19,1636
217,2014-11-20,1642
218,2014-11-21,1660
219,2014-11-25,1658
220,2014-11-26,1658
221,2014-11-27,1642
222,2014-11-28,1666
223,2014-12-01,1678
224,2014-12-02,1696
225,2014-12-03,1690
226,2014-12-04,1702
227,2014-12-05,1706
228,2014-12-08,1718
229,2014-12-09,1702
230,2014-12-10,1706
231,2014-12-11,1708
232,2014-12-12,1700
233,2014-12-15,1698
234,2014-12-16,1702
235,2014-12-17,1730
236,2014-12-18,1788
237,2014-12-19,1800
238,2014-12-22,1778
239,2014-12-24,1764
240,2014-12-25,1766
241,2014-12-26,1762
242,2014-12-29,1750
243,2014-12-30,1746
