,date,closing price
0,2010-01-04,78.5
1,2010-01-05,77.7
2,2010-01-06,77.8
3,2010-01-07,78
4,2010-01-08,78
5,2010-01-12,77.7
6,2010-01-13,77.8
7,2010-01-14,76.5
8,2010-01-15,76.6
9,2010-01-18,76.3
10,2010-01-19,75
11,2010-01-20,75
12,2010-01-21,75
13,2010-01-22,74.5
14,2010-01-25,76.7
15,2010-01-26,76.5
16,2010-01-27,78
17,2010-01-28,76.5
18,2010-01-29,75
19,2010-02-01,73.1
20,2010-02-02,72
21,2010-02-03,76
22,2010-02-04,79.7
23,2010-02-05,76.5
24,2010-02-08,73.1
25,2010-02-09,73.1
26,2010-02-10,75
27,2010-02-12,72.2
28,2010-02-15,68.5
29,2010-02-16,70
30,2010-02-17,68.7
31,2010-02-18,67
32,2010-02-19,68
33,2010-02-22,68.9
34,2010-02-23,68
35,2010-02-24,66.7
36,2010-02-25,68.9
37,2010-02-26,74
38,2010-03-01,68
39,2010-03-02,70
40,2010-03-03,68
41,2010-03-04,68
42,2010-03-05,67.5
43,2010-03-08,67.8
44,2010-03-09,67.8
45,2010-03-10,72.4
46,2010-03-11,70.6
47,2010-03-12,73.5
48,2010-03-15,76
49,2010-03-16,73
50,2010-03-17,73.9
51,2010-03-18,73.9
52,2010-03-19,76
53,2010-03-23,75
54,2010-03-24,84.5
55,2010-03-25,78.6
56,2010-03-26,81
57,2010-03-29,80.8
58,2010-03-30,86
59,2010-03-31,87
60,2010-04-01,83.2
61,2010-04-02,85
62,2010-04-05,87
63,2010-04-06,91.8
64,2010-04-07,93.3
65,2010-04-08,102.9
66,2010-04-09,105.5
67,2010-04-12,135.5
68,2010-04-13,165.5
69,2010-04-14,149.1
70,2010-04-15,141.7
71,2010-04-16,139
72,2010-04-19,169
73,2010-04-20,142
74,2010-04-21,145
75,2010-04-22,140
76,2010-04-23,144.9
77,2010-04-26,140.5
78,2010-04-27,150
79,2010-04-28,150
80,2010-04-30,150
81,2010-05-06,145
82,2010-05-07,122.5
83,2010-05-10,135
84,2010-05-11,123.1
85,2010-05-12,105
86,2010-05-13,105.9
87,2010-05-14,104
88,2010-05-17,95
89,2010-05-18,110
90,2010-05-19,123
91,2010-05-20,110.2
92,2010-05-21,110
93,2010-05-24,108.5
94,2010-05-25,105
95,2010-05-26,102
96,2010-05-27,113
97,2010-05-28,116.6
98,2010-05-31,109
99,2010-06-01,110
100,2010-06-02,108
101,2010-06-03,112
102,2010-06-04,119.8
103,2010-06-07,114.7
104,2010-06-08,112
105,2010-06-09,103
106,2010-06-10,106
107,2010-06-11,112.5
