,date,start price,highest price,cheapest price,closing price,yield,fixed closing price
0,2018-01-04,2980,3000,2960,3000,17900,3000
1,2018-01-05,3025,3025,2958,2969,19000,2969
2,2018-01-09,2985,2992,2957,2982,10000,2982
3,2018-01-10,2978,2980,2946,2959,11000,2959
4,2018-01-11,2959,2959,2933,2955,7200,2955
5,2018-01-12,2941,2944,2897,2914,19000,2914
6,2018-01-15,2936,2942,2915,2934,17100,2934
7,2018-01-16,2921,2938,2905,2911,15700,2911
8,2018-01-17,2921,2948,2883,2940,25300,2940
9,2018-01-18,2950,2950,2863,2872,29900,2872
10,2018-01-19,2900,2966,2886,2923,20300,2923
11,2018-01-22,2907,2938,2904,2920,10600,2920
12,2018-01-23,2970,3045,2960,3040,29100,3040
13,2018-01-24,3030,3030,3000,3030,9600,3030
14,2018-01-25,3040,3040,2991,3000,15400,3000
15,2018-01-26,3000,3045,3000,3015,10900,3015
16,2018-01-29,3015,3040,2998,3000,8700,3000
17,2018-01-30,3000,3000,2922,2932,13300,2932
18,2018-01-31,2932,2956,2852,2856,22600,2856
19,2018-02-01,2852,2963,2852,2960,14800,2960
20,2018-02-02,2937,2946,2908,2922,10800,2922
21,2018-02-05,2863,2885,2849,2852,15900,2852
22,2018-02-06,2710,2746,2566,2613,32700,2613
23,2018-02-07,2650,2824,2650,2664,23500,2664
24,2018-02-08,2708,2774,2624,2635,24100,2635
25,2018-02-09,2600,2649,2582,2624,18600,2624
26,2018-02-13,2635,2641,2324,2325,82200,2325
27,2018-02-14,2400,2548,2386,2501,64300,2501
28,2018-02-15,2522,2574,2493,2502,24700,2502
29,2018-02-16,2552,2655,2536,2614,32300,2614
30,2018-02-19,2611,2656,2611,2654,11900,2654
31,2018-02-20,2624,2670,2622,2642,13100,2642
32,2018-02-21,2654,2750,2654,2703,21500,2703
33,2018-02-22,2710,2715,2677,2705,13400,2705
34,2018-02-23,2744,2779,2721,2774,19200,2774
35,2018-02-26,2775,2801,2760,2774,8100,2774
36,2018-02-27,2831,2831,2770,2776,15200,2776
37,2018-02-28,2727,2779,2720,2730,17300,2730
38,2018-03-01,2730,2747,2689,2714,23800,2714
39,2018-03-02,2634,2698,2630,2634,17700,2634
40,2018-03-05,2590,2632,2587,2621,13300,2621
41,2018-03-06,2622,2691,2621,2658,16000,2658
42,2018-03-07,2658,2738,2647,2663,15200,2663
43,2018-03-08,2664,2692,2598,2618,10700,2618
44,2018-03-09,2594,2629,2538,2577,36100,2577
45,2018-03-12,2585,2605,2553,2586,16200,2586
46,2018-03-13,2593,2691,2571,2678,17500,2678
47,2018-03-14,2677,2677,2638,2657,5800,2657
48,2018-03-15,2666,2666,2582,2621,17000,2621
49,2018-03-16,2636,2640,2580,2623,18700,2623
50,2018-03-19,2615,2615,2515,2535,17200,2535
51,2018-03-20,2519,2583,2494,2576,20500,2576
52,2018-03-22,2576,2582,2530,2568,10500,2568
53,2018-03-23,2544,2544,2420,2432,22900,2432
54,2018-03-26,2400,2456,2400,2449,15500,2449
55,2018-03-27,2451,2518,2451,2515,19500,2515
56,2018-03-28,2479,2515,2398,2513,10400,2513
57,2018-03-29,2540,2540,2473,2513,21500,2513
58,2018-03-30,2514,2520,2488,2512,9700,2512
59,2018-04-02,2530,2530,2472,2492,9600,2492
60,2018-04-03,2488,2543,2446,2458,20100,2458
61,2018-04-04,2505,2647,2497,2548,23800,2548
62,2018-04-05,2571,2628,2532,2592,26900,2592
63,2018-04-06,2597,2619,2574,2585,14100,2585
64,2018-04-09,2577,2688,2557,2660,14400,2660
65,2018-04-10,2660,2844,2660,2739,23800,2739
66,2018-04-11,2744,2744,2657,2658,10900,2658
67,2018-04-12,2678,2692,2622,2637,10600,2637
68,2018-04-13,2648,2686,2629,2672,8700,2672
69,2018-04-16,2699,2717,2675,2717,11200,2717
70,2018-04-17,2717,2718,2665,2673,7400,2673
71,2018-04-18,2662,2718,2620,2713,13500,2713
72,2018-04-19,2739,2739,2708,2714,12600,2714
73,2018-04-20,2708,2757,2708,2720,7200,2720
74,2018-04-23,2727,2727,2648,2668,7300,2668
75,2018-04-24,2715,2732,2665,2692,13300,2692
76,2018-04-25,2697,2766,2677,2738,19000,2738
77,2018-04-26,2738,2759,2717,2758,10800,2758
78,2018-04-27,2771,2771,2704,2748,10400,2748
79,2018-05-01,2761,2761,2708,2714,4200,2714
80,2018-05-02,2749,2825,2718,2811,21100,2811
81,2018-05-07,2783,2783,2694,2737,18100,2737
82,2018-05-08,2759,2775,2714,2749,16400,2749
83,2018-05-09,2781,2792,2731,2756,15500,2756
84,2018-05-10,2743,2820,2642,2818,12400,2818
85,2018-05-11,2825,2844,2770,2788,21700,2788
86,2018-05-14,2788,2788,2716,2750,26200,2750
87,2018-05-15,2754,2829,2720,2752,26800,2752
88,2018-05-16,2783,2783,2709,2711,14100,2711
89,2018-05-17,2735,2735,2690,2694,10600,2694
90,2018-05-18,2692,2698,2673,2686,8300,2686
91,2018-05-21,2660,2695,2655,2671,9700,2671
92,2018-05-22,2671,2695,2645,2662,8300,2662
93,2018-05-23,2664,2690,2640,2665,8900,2665
94,2018-05-24,2692,2695,2621,2648,16700,2648
95,2018-05-25,2726,2726,2603,2619,19800,2619
96,2018-05-28,2630,2645,2580,2595,10300,2595
97,2018-05-29,2622,2636,2582,2606,14800,2606
98,2018-05-30,2589,2599,2520,2543,13900,2543
99,2018-05-31,2555,2592,2481,2551,76400,2551
100,2018-06-01,2551,2633,2537,2618,11900,2618
101,2018-06-04,2666,2723,2639,2709,22600,2709
102,2018-06-05,2693,2700,2595,2659,25700,2659
103,2018-06-06,2659,2681,2610,2681,17500,2681
104,2018-06-07,2681,2699,2653,2694,10600,2694
105,2018-06-08,2687,2733,2687,2700,27300,2700
106,2018-06-11,2703,2730,2703,2718,6600,2718
107,2018-06-12,2704,2720,2645,2668,10400,2668
108,2018-06-13,2690,2715,2678,2679,8900,2679
109,2018-06-14,2678,2699,2644,2656,11400,2656
110,2018-06-15,2673,2685,2607,2616,17300,2616
111,2018-06-18,2596,2680,2596,2670,13200,2670
112,2018-06-19,2689,2689,2570,2574,12800,2574
113,2018-06-20,2574,2577,2549,2570,9200,2570
114,2018-06-21,2569,2588,2472,2487,15500,2487
115,2018-06-22,2464,2570,2457,2480,28900,2480
116,2018-06-25,2530,2530,2442,2493,22500,2493
117,2018-06-26,2443,2583,2438,2560,19300,2560
118,2018-06-27,2554,2623,2508,2515,24900,2515
119,2018-06-28,2513,2540,2475,2516,20900,2516
120,2018-06-29,2520,2591,2512,2555,15600,2555
121,2018-07-02,2538,2538,2404,2410,15200,2410
122,2018-07-03,2420,2422,2350,2358,18500,2358
123,2018-07-04,2342,2416,2341,2388,12000,2388
124,2018-07-05,2357,2371,2282,2286,18000,2286
125,2018-07-06,2305,2325,2287,2312,11100,2312
126,2018-07-09,2312,2360,2310,2341,14600,2341
127,2018-07-10,2363,2389,2350,2350,17800,2350
128,2018-07-11,2350,2350,2305,2317,20800,2317
129,2018-07-12,2327,2346,2326,2330,7200,2330
130,2018-07-13,2331,2354,2303,2315,21100,2315
131,2018-07-17,2320,2374,2315,2332,25700,2332
132,2018-07-18,2401,2410,2342,2359,26400,2359
133,2018-07-19,2359,2387,2353,2355,6300,2355
134,2018-07-20,2361,2386,2341,2354,18700,2354
135,2018-07-23,2341,2388,2341,2364,9500,2364
136,2018-07-24,2390,2417,2356,2405,20800,2405
137,2018-07-25,2418,2418,2366,2368,19700,2368
138,2018-07-26,2404,2472,2404,2461,25700,2461
139,2018-07-27,2486,2517,2464,2480,17100,2480
140,2018-07-30,2477,2526,2477,2512,9900,2512
141,2018-07-31,2520,2520,2456,2498,16400,2498
142,2018-08-01,2498,2498,2437,2453,9000,2453
143,2018-08-02,2463,2479,2414,2418,8600,2418
144,2018-08-03,2404,2410,2339,2351,13000,2351
145,2018-08-06,2324,2351,2277,2288,15200,2288
146,2018-08-07,2270,2329,2270,2303,11500,2303
147,2018-08-08,2300,2339,2279,2285,13500,2285
148,2018-08-09,2254,2282,2252,2255,16400,2255
149,2018-08-10,2251,2275,2213,2215,27400,2215
150,2018-08-13,2115,2152,2054,2083,37200,2083
151,2018-08-14,2105,2224,2105,2196,23400,2196
152,2018-08-15,2175,2249,2149,2153,27400,2153
153,2018-08-16,2138,2184,2110,2156,22200,2156
154,2018-08-17,2141,2237,2141,2198,15700,2198
155,2018-08-20,2189,2242,2160,2199,21000,2199
156,2018-08-21,2199,2223,2180,2187,13100,2187
157,2018-08-22,2184,2274,2184,2218,17200,2218
158,2018-08-23,2218,2274,2218,2265,22100,2265
159,2018-08-24,2285,2313,2249,2277,24000,2277
160,2018-08-27,2275,2297,2271,2280,7100,2280
161,2018-08-28,2283,2321,2283,2290,16600,2290
162,2018-08-29,2300,2312,2272,2281,13500,2281
163,2018-08-30,2279,2309,2254,2299,18700,2299
164,2018-08-31,2257,2289,2239,2240,13700,2240
165,2018-09-03,2240,2241,2087,2106,36800,2106
166,2018-09-04,2153,2210,2150,2165,34300,2165
167,2018-09-05,2165,2205,2162,2165,29100,2165
168,2018-09-06,2160,2246,2160,2190,16700,2190
169,2018-09-07,2170,2221,2170,2208,22900,2208
170,2018-09-10,2187,2238,2187,2224,16300,2224
171,2018-09-11,2203,2223,2174,2200,14300,2200
172,2018-09-12,2171,2212,2123,2136,20200,2136
173,2018-09-13,2147,2217,2147,2166,17500,2166
174,2018-09-14,2166,2238,2166,2220,35300,2220
175,2018-09-18,2178,2234,2174,2217,29200,2217
176,2018-09-19,2256,2310,2226,2290,24900,2290
177,2018-09-20,2309,2315,2250,2263,22700,2263
178,2018-09-21,2294,2315,2255,2276,29300,2276
179,2018-09-25,2320,2379,2304,2379,38300,2379
180,2018-09-26,2292,2347,2281,2332,35700,2332
181,2018-09-27,2316,2340,2240,2242,34200,2242
182,2018-09-28,2284,2323,2258,2264,28400,2264
183,2018-10-01,2263,2299,2223,2227,26100,2227
184,2018-10-02,2260,2322,2223,2261,24000,2261
185,2018-10-03,2260,2290,2216,2218,18700,2218
186,2018-10-04,2247,2254,2204,2247,15300,2247
187,2018-10-05,2236,2303,2216,2295,26800,2295
188,2018-10-09,2245,2263,2169,2224,43000,2224
189,2018-10-10,2224,2262,2202,2235,25300,2235
190,2018-10-11,2150,2176,2117,2120,26400,2120
191,2018-10-12,2130,2133,2091,2094,25200,2094
192,2018-10-15,2090,2095,2045,2090,35000,2090
193,2018-10-16,2069,2093,2047,2069,16400,2069
194,2018-10-17,2106,2114,2082,2108,17000,2108
195,2018-10-18,2061,2103,2053,2071,29500,2071
196,2018-10-19,2051,2060,2031,2053,21400,2053
197,2018-10-22,2033,2082,2012,2063,24900,2063
198,2018-10-23,2052,2052,2003,2011,23900,2011
199,2018-10-24,2048,2113,2035,2106,27400,2106
200,2018-10-25,2103,2103,1992,1998,28100,1998
201,2018-10-26,1995,2011,1943,1954,25300,1954
202,2018-10-29,1958,1981,1921,1930,26600,1930
203,2018-10-30,1900,2038,1900,2038,69300,2038
204,2018-10-31,2030,2070,2020,2064,52900,2064
205,2018-11-01,2046,2088,2015,2056,21800,2056
206,2018-11-02,2058,2086,2026,2072,27300,2072
207,2018-11-05,2058,2089,2053,2068,22400,2068
208,2018-11-06,2055,2110,2049,2097,16100,2097
209,2018-11-07,2103,2133,2063,2075,17800,2075
210,2018-11-08,2121,2132,2102,2125,13800,2125
211,2018-11-09,2125,2146,2072,2121,34400,2121
212,2018-11-12,2090,2135,2052,2111,29800,2111
213,2018-11-13,2089,2089,2005,2049,28200,2049
214,2018-11-14,2049,2051,2021,2027,33800,2027
215,2018-11-15,2032,2050,1996,2009,11100,2009
216,2018-11-16,2027,2053,2007,2040,21500,2040
217,2018-11-19,2025,2066,2025,2061,21300,2061
218,2018-11-20,2055,2111,2044,2103,24200,2103
219,2018-11-21,2073,2112,2045,2103,21500,2103
220,2018-11-22,2107,2111,2075,2104,21100,2104
221,2018-11-26,2080,2095,2067,2088,15000,2088
222,2018-11-27,2090,2129,2090,2113,18000,2113
223,2018-11-28,2110,2123,2097,2123,14600,2123
224,2018-11-29,2140,2148,2127,2133,8700,2133
225,2018-11-30,2126,2131,2109,2116,13000,2116
226,2018-12-03,2112,2115,2082,2115,16600,2115
227,2018-12-04,2114,2114,2039,2045,33800,2045
228,2018-12-05,2013,2024,1983,2005,18300,2005
229,2018-12-06,1996,2030,1978,2012,23700,2012
230,2018-12-07,1990,2012,1956,2000,18600,2000
231,2018-12-10,2000,2007,1987,2000,24800,2000
232,2018-12-11,2012,2015,1987,2000,24400,2000
233,2018-12-12,2036,2061,2022,2047,24500,2047
234,2018-12-13,2048,2074,2035,2056,18400,2056
235,2018-12-14,2041,2065,1965,1969,48000,1969
236,2018-12-17,1969,1988,1959,1985,35400,1985
237,2018-12-18,1988,2038,1972,2025,52000,2025
238,2018-12-19,2016,2018,1970,1991,36200,1991
239,2018-12-20,1966,1974,1891,1903,23400,1903
240,2018-12-21,1929,1929,1804,1834,56200,1834
241,2018-12-25,1754,1820,1747,1812,35600,1812
242,2018-12-26,1841,1923,1841,1907,35400,1907
243,2018-12-27,2011,2011,1947,2008,28700,2008
244,2018-12-28,2008,2033,1982,1988,10800,1988
