,date,start price,highest price,cheapest price,closing price,yield,fixed closing price
0,2018-01-04,2345,2348,2320,2342,3900,2342
1,2018-01-05,2326,2362,2326,2355,5100,2355
2,2018-01-09,2355,2355,2328,2332,3100,2332
3,2018-01-10,2339,2345,2333,2343,1600,2343
4,2018-01-11,2344,2362,2344,2351,3000,2351
5,2018-01-12,2346,2346,2326,2328,5600,2328
6,2018-01-15,2329,2344,2326,2343,2600,2343
7,2018-01-16,2345,2351,2342,2351,4100,2351
8,2018-01-17,2344,2344,2324,2342,1500,2342
9,2018-01-18,2338,2338,2324,2324,2500,2324
10,2018-01-19,2324,2325,2287,2287,4100,2287
11,2018-01-22,2287,2289,2281,2281,1200,2281
12,2018-01-23,2291,2320,2291,2320,1800,2320
13,2018-01-24,2320,2325,2317,2323,1400,2323
14,2018-01-25,2298,2324,2298,2312,1200,2312
15,2018-01-26,2292,2317,2288,2306,2300,2306
16,2018-01-29,2344,2344,2291,2321,1600,2321
17,2018-01-30,2314,2314,2310,2310,2100,2310
18,2018-01-31,2296,2303,2267,2269,4200,2269
19,2018-02-01,2263,2263,2227,2234,2400,2234
20,2018-02-02,2227,2236,2216,2216,2000,2216
21,2018-02-05,2185,2185,2109,2109,3500,2109
22,2018-02-06,2064,2070,1904,1904,8400,1904
23,2018-02-07,1908,1958,1908,1922,3300,1922
24,2018-02-08,1991,2050,1980,1982,1700,1982
25,2018-02-09,1967,1987,1963,1976,4600,1976
26,2018-02-13,1976,2007,1976,1979,2400,1979
27,2018-02-14,2007,2021,1980,1982,2200,1982
28,2018-02-15,1999,2038,1998,2007,2500,2007
29,2018-02-16,2008,2026,2001,2007,1900,2007
30,2018-02-19,2010,2026,2010,2026,900,2026
31,2018-02-20,2046,2070,2036,2046,1500,2046
32,2018-02-21,2069,2069,2056,2056,900,2056
33,2018-02-22,2057,2057,2041,2043,1100,2043
34,2018-02-23,2050,2065,2022,2022,1400,2022
35,2018-02-26,2026,2042,2023,2023,1400,2023
36,2018-02-27,2079,2079,2048,2053,2800,2053
37,2018-02-28,2047,2052,2013,2013,2000,2013
38,2018-03-01,2007,2013,1994,1994,2500,1994
39,2018-03-02,1993,2012,1939,1943,3300,1943
40,2018-03-05,1963,1964,1941,1945,2900,1945
41,2018-03-06,1918,1938,1913,1913,2900,1913
42,2018-03-07,1913,1928,1902,1902,2500,1902
43,2018-03-08,1903,1930,1903,1913,1300,1913
44,2018-03-09,1950,1965,1918,1934,4900,1934
45,2018-03-12,1974,1974,1920,1924,3200,1924
46,2018-03-13,1974,1975,1955,1961,2200,1961
47,2018-03-14,1961,2002,1957,1957,4300,1957
48,2018-03-15,1957,1961,1950,1950,2000,1950
49,2018-03-16,1969,1977,1964,1964,6900,1964
50,2018-03-19,1953,1957,1913,1921,4300,1921
51,2018-03-20,1902,1907,1846,1847,5900,1847
52,2018-03-22,1850,1858,1847,1847,4900,1847
53,2018-03-23,1847,1860,1802,1802,5100,1802
54,2018-03-26,1800,1800,1724,1771,9000,1771
55,2018-03-27,1800,1818,1761,1795,12300,1795
56,2018-03-28,1781,1792,1765,1781,3800,1781
57,2018-03-29,1781,1817,1781,1812,3700,1812
58,2018-03-30,1839,1839,1815,1815,1400,1815
59,2018-04-02,1815,1822,1814,1814,1700,1814
60,2018-04-03,1800,1811,1782,1794,2300,1794
61,2018-04-04,1797,1847,1792,1847,4100,1847
62,2018-04-05,1841,1841,1812,1838,3000,1838
63,2018-04-06,1811,1828,1797,1797,2800,1797
64,2018-04-09,1819,1819,1810,1813,1100,1813
65,2018-04-10,1815,1815,1799,1810,1400,1810
66,2018-04-11,1816,1816,1799,1799,1300,1799
67,2018-04-12,1798,1807,1797,1806,700,1806
68,2018-04-13,1806,1815,1806,1810,700,1810
69,2018-04-16,1810,1815,1800,1811,1000,1811
70,2018-04-17,1798,1811,1792,1806,1000,1806
71,2018-04-18,1800,1815,1800,1812,600,1812
72,2018-04-19,1815,1815,1812,1813,800,1813
73,2018-04-20,1809,1812,1801,1812,800,1812
74,2018-04-23,1815,1853,1815,1853,1400,1853
75,2018-04-24,1847,1860,1847,1859,3100,1859
76,2018-04-25,1859,1871,1849,1871,1500,1871
77,2018-04-26,1875,1990,1864,1988,3800,1988
78,2018-04-27,2021,2045,1975,2045,8700,2045
79,2018-05-01,2045,2045,2024,2034,1700,2034
80,2018-05-02,2025,2042,2005,2042,2300,2042
81,2018-05-07,1992,2040,1989,2039,4100,2039
82,2018-05-08,2045,2096,2035,2091,3500,2091
83,2018-05-09,2068,2068,2038,2061,1700,2061
84,2018-05-10,2061,2061,2030,2040,900,2040
85,2018-05-11,2045,2045,1980,2037,4500,2037
86,2018-05-14,2021,2043,2009,2026,2200,2026
87,2018-05-15,2027,2027,2015,2018,2100,2018
88,2018-05-16,2018,2020,2007,2020,1500,2020
89,2018-05-17,2025,2027,2005,2027,2600,2027
90,2018-05-18,2030,2030,2004,2004,1000,2004
91,2018-05-21,2006,2028,2006,2028,1100,2028
92,2018-05-22,2028,2028,2014,2023,1500,2023
93,2018-05-23,2028,2028,2004,2015,1300,2015
94,2018-05-24,2015,2028,2007,2028,1300,2028
95,2018-05-25,2034,2034,2034,2034,400,2034
96,2018-05-28,2033,2033,2018,2021,1000,2021
97,2018-05-29,2029,2030,2019,2030,1300,2030
98,2018-05-30,2015,2034,2011,2034,1900,2034
99,2018-05-31,2034,2034,1991,1998,1000,1998
100,2018-06-01,1995,1997,1990,1992,1200,1992
101,2018-06-04,1980,1998,1980,1998,1400,1998
102,2018-06-05,1997,2072,1997,2072,3500,2072
103,2018-06-06,2070,2071,2020,2040,3900,2040
104,2018-06-07,2040,2049,2020,2049,1300,2049
105,2018-06-08,1999,2140,1999,2140,8700,2140
106,2018-06-11,2137,2137,2105,2117,2700,2117
107,2018-06-12,2125,2125,2105,2124,1700,2124
108,2018-06-13,2091,2115,2075,2075,2500,2075
109,2018-06-14,2052,2052,2002,2023,4100,2023
110,2018-06-15,2002,2002,1906,1907,3000,1907
111,2018-06-18,1921,1940,1921,1934,1800,1934
112,2018-06-19,1935,1958,1923,1958,2100,1958
113,2018-06-20,1997,1997,1929,1954,4600,1954
114,2018-06-21,1939,1948,1936,1944,2400,1944
115,2018-06-22,1948,1966,1948,1966,800,1966
116,2018-06-25,1948,1963,1948,1963,900,1963
117,2018-06-26,1944,1944,1926,1940,1900,1940
118,2018-06-27,1931,1937,1931,1937,900,1937
119,2018-06-28,1977,1977,1891,1891,3400,1891
120,2018-06-29,1900,1903,1811,1822,3800,1822
121,2018-07-02,1822,1822,1780,1780,4800,1780
122,2018-07-03,1756,1756,1666,1666,5200,1666
123,2018-07-04,1676,1699,1676,1692,2400,1692
124,2018-07-05,1700,1700,1669,1669,3000,1669
125,2018-07-06,1663,1670,1663,1667,2200,1667
