,date,start price,highest price,cheapest price,closing price,yield,fixed closing price
0,2018-01-04,365,370,358,370,23700,370
1,2018-01-05,367,372,367,370,22600,370
2,2018-01-09,372,373,369,371,23200,371
3,2018-01-10,372,372,369,370,14200,370
4,2018-01-11,370,370,368,370,13500,370
5,2018-01-12,369,370,365,367,16100,367
6,2018-01-15,367,376,366,376,38200,376
7,2018-01-16,375,376,374,375,34900,375
8,2018-01-17,376,377,373,377,33900,377
9,2018-01-18,379,379,372,373,15100,373
10,2018-01-19,373,377,373,375,22300,375
11,2018-01-22,375,379,374,379,37400,379
12,2018-01-23,380,381,375,379,28200,379
13,2018-01-24,379,379,377,379,24400,379
14,2018-01-25,381,381,376,376,18600,376
15,2018-01-26,375,378,375,378,7200,378
16,2018-01-29,379,379,374,374,20600,374
17,2018-01-30,371,373,369,369,20800,369
18,2018-01-31,384,387,375,381,109300,381
19,2018-02-01,381,383,375,377,50600,377
20,2018-02-02,376,379,376,376,19700,376
21,2018-02-05,369,373,364,365,42100,365
22,2018-02-06,360,360,343,343,71200,343
23,2018-02-07,350,355,348,350,32100,350
24,2018-02-08,355,356,352,353,15600,353
25,2018-02-09,342,356,342,350,24700,350
26,2018-02-13,351,355,348,349,24500,349
27,2018-02-14,347,353,346,347,42900,347
28,2018-02-15,355,355,348,351,22100,351
29,2018-02-16,352,358,350,350,12100,350
30,2018-02-19,350,355,346,353,69100,353
31,2018-02-20,350,352,349,352,49700,352
32,2018-02-21,351,353,346,350,53300,350
33,2018-02-22,350,351,348,351,46200,351
34,2018-02-23,350,358,350,350,19100,350
35,2018-02-26,356,360,354,358,17100,358
36,2018-02-27,358,363,358,361,9900,361
37,2018-02-28,358,362,358,359,20900,359
38,2018-03-01,358,359,356,357,16200,357
39,2018-03-02,355,363,354,354,26900,354
40,2018-03-05,352,356,351,353,18500,353
41,2018-03-06,354,358,354,357,8200,357
42,2018-03-07,356,362,356,362,18200,362
43,2018-03-08,362,364,359,362,16100,362
44,2018-03-09,364,364,359,361,14400,361
45,2018-03-12,363,366,362,366,18000,366
46,2018-03-13,366,369,366,369,10400,369
47,2018-03-14,368,368,353,363,24500,363
48,2018-03-15,360,375,360,370,22800,370
49,2018-03-16,362,364,357,362,26700,362
50,2018-03-19,358,362,356,357,12200,357
51,2018-03-20,357,363,356,363,10400,363
52,2018-03-22,363,364,362,364,3700,364
53,2018-03-23,357,360,353,353,18200,353
54,2018-03-26,357,357,348,352,25700,352
55,2018-03-27,352,360,351,360,11900,360
56,2018-03-28,357,361,354,357,18000,357
57,2018-03-29,359,361,356,360,11400,360
58,2018-03-30,362,363,357,361,11000,361
59,2018-04-02,362,364,362,363,3400,363
60,2018-04-03,358,365,358,361,14900,361
61,2018-04-04,362,366,359,365,11500,365
62,2018-04-05,366,366,361,363,11000,363
63,2018-04-06,363,366,359,359,8700,359
64,2018-04-09,359,361,355,361,8300,361
65,2018-04-10,361,364,359,363,18500,363
66,2018-04-11,362,363,361,361,6300,361
67,2018-04-12,360,361,358,359,8600,359
68,2018-04-13,359,361,358,359,4600,359
69,2018-04-16,359,360,358,360,8900,360
70,2018-04-17,357,359,357,359,4100,359
71,2018-04-18,361,362,357,360,9900,360
72,2018-04-19,361,364,361,363,9100,363
73,2018-04-20,363,364,362,362,3500,362
74,2018-04-23,361,366,360,364,10700,364
75,2018-04-24,363,366,363,366,12100,366
76,2018-04-25,365,365,360,361,14200,361
77,2018-04-26,361,366,358,360,39600,360
78,2018-04-27,357,358,354,354,12500,354
79,2018-05-01,356,359,355,358,10600,358
80,2018-05-02,358,360,357,360,7700,360
81,2018-05-07,361,361,359,360,4300,360
82,2018-05-08,360,365,360,365,7000,365
83,2018-05-09,361,363,359,361,9500,361
84,2018-05-10,361,363,360,360,4700,360
85,2018-05-11,360,361,359,361,5200,361
86,2018-05-14,361,361,356,358,12800,358
87,2018-05-15,358,358,353,354,16500,354
88,2018-05-16,354,354,351,352,12800,352
89,2018-05-17,352,355,351,354,13200,354
90,2018-05-18,353,354,349,352,23000,352
91,2018-05-21,355,356,352,355,8700,355
92,2018-05-22,354,354,345,349,46400,349
93,2018-05-23,348,352,348,351,22400,351
94,2018-05-24,350,353,350,352,15200,352
95,2018-05-25,354,355,353,353,10200,353
96,2018-05-28,353,354,351,352,8500,352
97,2018-05-29,352,354,350,353,18200,353
98,2018-05-30,352,352,350,351,8900,351
99,2018-05-31,351,351,348,349,32600,349
100,2018-06-01,349,350,348,348,20000,348
101,2018-06-04,349,353,349,350,16200,350
102,2018-06-05,350,352,349,351,8500,351
103,2018-06-06,350,352,347,349,21200,349
104,2018-06-07,350,350,345,347,32200,347
105,2018-06-08,345,349,345,347,19100,347
106,2018-06-11,347,354,346,354,18900,354
107,2018-06-12,353,357,350,354,23800,354
108,2018-06-13,355,364,355,363,23500,363
109,2018-06-14,355,355,349,349,34400,349
110,2018-06-15,348,350,336,342,26900,342
111,2018-06-18,341,346,341,344,7900,344
112,2018-06-19,347,348,343,344,13200,344
