,date,closing price
0,2011-01-04,840
1,2011-01-05,860
2,2011-01-06,860
3,2011-01-07,860
4,2011-01-11,880
5,2011-01-12,880
6,2011-01-13,860
7,2011-01-14,850
8,2011-01-17,850
9,2011-01-18,890
10,2011-01-19,910
11,2011-01-20,880
12,2011-01-21,840
13,2011-01-24,850
14,2011-01-25,860
15,2011-01-26,860
16,2011-01-27,880
17,2011-01-28,890
18,2011-01-31,880
19,2011-02-01,880
20,2011-02-02,890
21,2011-02-03,870
22,2011-02-04,900
23,2011-02-07,880
24,2011-02-08,950
25,2011-02-09,920
26,2011-02-10,930
27,2011-02-14,950
28,2011-02-15,930
29,2011-02-16,930
30,2011-02-17,920
31,2011-02-18,930
32,2011-02-21,990
33,2011-02-22,940
34,2011-02-23,970
35,2011-02-24,910
36,2011-02-25,910
37,2011-02-28,930
38,2011-03-01,970
39,2011-03-02,940
40,2011-03-03,970
41,2011-03-04,990
42,2011-03-07,1020
43,2011-03-08,1090
44,2011-03-09,1050
45,2011-03-10,990
46,2011-03-11,960
47,2011-03-14,910
48,2011-03-15,650
49,2011-03-16,700
50,2011-03-17,800
51,2011-03-18,840
52,2011-03-22,940
53,2011-03-23,1010
54,2011-03-24,1240
55,2011-03-25,1210
56,2011-03-28,1230
57,2011-03-29,1180
58,2011-03-30,1210
59,2011-03-31,1130
60,2011-04-01,1140
61,2011-04-04,1190
62,2011-04-05,1100
63,2011-04-06,1100
64,2011-04-07,1070
65,2011-04-08,1130
66,2011-04-11,1120
67,2011-04-12,1080
68,2011-04-13,1090
69,2011-04-14,1120
70,2011-04-15,1100
71,2011-04-18,1100
72,2011-04-19,1070
73,2011-04-20,1090
74,2011-04-21,1060
75,2011-04-22,1050
76,2011-04-25,1120
77,2011-04-26,1110
78,2011-04-27,1090
79,2011-04-28,1100
80,2011-05-02,1150
81,2011-05-06,1140
82,2011-05-09,1200
83,2011-05-10,1180
84,2011-05-11,1170
85,2011-05-12,1140
86,2011-05-13,1090
87,2011-05-16,1050
88,2011-05-17,1010
89,2011-05-18,1050
90,2011-05-19,980
91,2011-05-20,950
92,2011-05-23,920
93,2011-05-24,940
94,2011-05-25,940
95,2011-05-26,940
96,2011-05-27,950
97,2011-05-30,950
98,2011-05-31,1030
99,2011-06-01,1000
100,2011-06-02,980
101,2011-06-03,980
102,2011-06-06,960
103,2011-06-07,960
104,2011-06-08,950
105,2011-06-09,950
106,2011-06-10,950
107,2011-06-13,990
108,2011-06-14,1010
109,2011-06-15,1010
110,2011-06-16,1000
111,2011-06-17,980
112,2011-06-20,970
113,2011-06-21,1000
114,2011-06-22,1010
115,2011-06-23,1000
116,2011-06-24,1000
117,2011-06-27,1010
118,2011-06-28,1030
119,2011-06-29,1010
120,2011-06-30,1020
121,2011-07-01,1020
122,2011-07-04,1030
123,2011-07-05,1030
124,2011-07-06,1030
125,2011-07-07,1020
126,2011-07-08,1010
127,2011-07-11,1030
128,2011-07-12,990
129,2011-07-13,1000
130,2011-07-14,980
131,2011-07-15,1000
132,2011-07-19,1000
133,2011-07-20,1000
134,2011-07-21,1020
135,2011-07-22,1040
136,2011-07-25,1000
137,2011-07-26,1080
138,2011-07-27,1110
139,2011-07-28,1070
140,2011-07-29,1010
141,2011-08-01,1050
142,2011-08-02,1020
143,2011-08-03,1010
144,2011-08-04,1020
145,2011-08-05,980
146,2011-08-08,930
147,2011-08-09,880
148,2011-08-10,890
149,2011-08-11,940
150,2011-08-12,910
151,2011-08-15,930
152,2011-08-16,930
153,2011-08-17,940
154,2011-08-18,920
155,2011-08-19,880
156,2011-08-22,850
157,2011-08-23,870
158,2011-08-24,840
159,2011-08-25,850
160,2011-08-26,870
161,2011-08-29,880
162,2011-08-30,900
163,2011-08-31,920
164,2011-09-01,920
165,2011-09-02,920
166,2011-09-05,920
167,2011-09-06,890
168,2011-09-07,890
169,2011-09-08,910
170,2011-09-09,890
171,2011-09-12,860
172,2011-09-13,880
173,2011-09-14,840
174,2011-09-15,850
175,2011-09-16,870
176,2011-09-20,830
177,2011-09-21,820
178,2011-09-22,790
179,2011-09-26,720
180,2011-09-27,740
181,2011-09-28,790
182,2011-09-29,800
183,2011-09-30,790
184,2011-10-03,760
185,2011-10-04,760
186,2011-10-05,740
187,2011-10-06,740
188,2011-10-07,750
189,2011-10-11,770
190,2011-10-12,810
191,2011-10-13,810
192,2011-10-14,800
193,2011-10-17,810
194,2011-10-18,790
195,2011-10-19,770
196,2011-10-20,750
197,2011-10-21,760
198,2011-10-24,770
199,2011-10-25,750
200,2011-10-26,750
201,2011-10-27,770
202,2011-10-28,780
203,2011-10-31,780
204,2011-11-01,760
205,2011-11-02,740
206,2011-11-04,800
207,2011-11-07,820
208,2011-11-08,810
209,2011-11-09,770
210,2011-11-10,740
211,2011-11-11,740
212,2011-11-14,760
213,2011-11-15,750
214,2011-11-16,740
215,2011-11-17,740
216,2011-11-18,730
217,2011-11-21,720
218,2011-11-22,720
219,2011-11-24,740
220,2011-11-25,710
221,2011-11-28,720
222,2011-11-29,770
223,2011-11-30,760
224,2011-12-01,790
225,2011-12-02,1050
226,2011-12-05,1140
227,2011-12-06,1070
228,2011-12-07,1180
229,2011-12-08,1220
230,2011-12-09,1260
231,2011-12-12,1310
232,2011-12-13,1410
233,2011-12-14,1370
234,2011-12-15,1460
235,2011-12-16,1430
236,2011-12-19,1520
237,2011-12-20,1490
238,2011-12-21,1410
239,2011-12-22,1320
240,2011-12-26,1310
241,2011-12-27,1310
242,2011-12-28,1290
243,2011-12-29,1280
244,2011-12-30,1370
