,date,closing price
0,2016-01-04,677
1,2016-01-05,687.5
2,2016-01-06,701.5
3,2016-01-07,715
4,2016-01-08,709.5
5,2016-01-12,585
6,2016-01-13,580
7,2016-01-14,525.5
8,2016-01-15,507.5
9,2016-01-18,487
10,2016-01-19,480
11,2016-01-20,491.5
12,2016-01-21,565
13,2016-01-22,631
14,2016-01-25,688
15,2016-01-26,699.5
16,2016-01-27,700.5
17,2016-01-28,762.5
18,2016-01-29,770
19,2016-02-01,787
20,2016-02-02,755
21,2016-02-03,770.5
22,2016-02-04,766.5
23,2016-02-05,701
24,2016-02-08,773.5
25,2016-02-09,710
26,2016-02-10,714.5
27,2016-02-12,660
28,2016-02-15,722.5
29,2016-02-16,743.5
30,2016-02-17,712.5
31,2016-02-18,748.5
32,2016-02-19,767
33,2016-02-22,752.5
34,2016-02-23,754.5
35,2016-02-24,748.5
36,2016-02-25,779.5
37,2016-02-26,821
38,2016-02-29,849
39,2016-03-01,848.5
40,2016-03-02,825
41,2016-03-03,796
42,2016-03-04,836
43,2016-03-07,846
44,2016-03-08,829
45,2016-03-09,789
46,2016-03-10,825
47,2016-03-11,808.5
48,2016-03-14,816
49,2016-03-15,820.5
50,2016-03-16,866
51,2016-03-17,862.5
52,2016-03-18,811
53,2016-03-22,825.5
54,2016-03-23,874
55,2016-03-24,859
56,2016-03-25,853.5
57,2016-03-28,842.5
58,2016-03-29,855.5
59,2016-03-30,879.5
60,2016-03-31,912.5
61,2016-04-01,852.5
62,2016-04-04,802.5
63,2016-04-05,785
64,2016-04-06,766.5
65,2016-04-07,787
66,2016-04-08,812.5
67,2016-04-11,840
68,2016-04-12,855
69,2016-04-13,870.5
70,2016-04-14,970
71,2016-04-15,941
72,2016-04-18,1052.5
73,2016-04-19,1072.5
74,2016-04-20,1051
75,2016-04-21,1116
76,2016-04-22,1149.5
77,2016-04-25,1132
78,2016-04-26,1060
79,2016-04-27,1200
80,2016-04-28,1249.5
81,2016-05-02,1265
82,2016-05-06,1296.5
83,2016-05-09,1315
84,2016-05-10,1278
85,2016-05-11,1294.5
86,2016-05-12,1209.5
87,2016-05-13,1200.5
88,2016-05-16,1102
89,2016-05-17,1101.5
90,2016-05-18,1051
91,2016-05-19,1074
92,2016-05-20,1102
93,2016-05-23,1065.5
94,2016-05-24,1050.5
95,2016-05-25,953
96,2016-05-26,982.5
97,2016-05-27,1070
98,2016-05-30,1050
99,2016-05-31,1072
100,2016-06-01,1010
101,2016-06-02,1004
102,2016-06-03,987.5
103,2016-06-06,940
104,2016-06-07,915
105,2016-06-08,906.5
106,2016-06-09,908.5
107,2016-06-10,936
108,2016-06-13,893
109,2016-06-14,818
110,2016-06-15,850
111,2016-06-16,862.5
112,2016-06-17,879.5
113,2016-06-20,951
114,2016-06-21,938.5
115,2016-06-22,972
116,2016-06-23,900.5
117,2016-06-24,869.5
118,2016-06-27,936.5
119,2016-06-28,912.5
120,2016-06-29,891.5
121,2016-06-30,886.5
122,2016-07-01,906.5
123,2016-07-04,925
124,2016-07-05,937.5
125,2016-07-06,930
126,2016-07-07,948
127,2016-07-08,1000
128,2016-07-11,1048.5
129,2016-07-12,1016
130,2016-07-13,1005
131,2016-07-14,1016
132,2016-07-15,973.5
133,2016-07-19,1056
134,2016-07-20,1012
135,2016-07-21,970
136,2016-07-22,933.5
137,2016-07-25,942
138,2016-07-26,872.5
139,2016-07-27,857.5
140,2016-07-28,966.5
141,2016-07-29,925
142,2016-08-01,1006.5
143,2016-08-02,964
144,2016-08-03,975
145,2016-08-04,1040
146,2016-08-05,1070
147,2016-08-08,1006
148,2016-08-09,960
149,2016-08-10,1011.5
150,2016-08-12,954.5
151,2016-08-15,959
152,2016-08-16,952
153,2016-08-17,928
154,2016-08-18,925.5
155,2016-08-19,925
156,2016-08-22,898
157,2016-08-23,905
158,2016-08-24,927.5
159,2016-08-25,929
160,2016-08-26,900
161,2016-08-29,919
162,2016-08-30,901
163,2016-08-31,944.5
164,2016-09-01,958.5
165,2016-09-02,947.5
166,2016-09-05,949.5
167,2016-09-06,927.5
168,2016-09-07,954
169,2016-09-08,923
170,2016-09-09,911.5
171,2016-09-12,894
172,2016-09-13,906.5
173,2016-09-14,902.5
174,2016-09-15,903
175,2016-09-16,899.5
176,2016-09-20,926
177,2016-09-21,928
178,2016-09-23,954.5
179,2016-09-26,953
180,2016-09-27,963.5
181,2016-09-28,969
182,2016-09-29,974
183,2016-09-30,907.5
184,2016-10-03,915.5
185,2016-10-04,924.5
186,2016-10-05,939.5
187,2016-10-06,916
188,2016-10-07,879
189,2016-10-11,882
190,2016-10-12,951.5
191,2016-10-13,959
192,2016-10-14,977.5
193,2016-10-17,1002
194,2016-10-18,1043
195,2016-10-19,1054
196,2016-10-20,1008.5
197,2016-10-21,1007
198,2016-10-24,1020.5
199,2016-10-25,1105
200,2016-10-26,1096
201,2016-10-27,1090
202,2016-10-28,1063.5
203,2016-10-31,1067
204,2016-11-01,1022
205,2016-11-02,1010
206,2016-11-04,977.5
207,2016-11-07,1002
208,2016-11-08,1020
209,2016-11-09,971.5
210,2016-11-10,1014
211,2016-11-11,974
212,2016-11-14,1008
213,2016-11-15,961
214,2016-11-16,969.5
215,2016-11-17,989.5
216,2016-11-18,986
217,2016-11-21,1005
218,2016-11-22,1020.5
219,2016-11-24,1025.5
220,2016-11-25,1074
221,2016-11-28,1110
222,2016-11-29,1095
223,2016-11-30,1120.5
224,2016-12-01,1070
225,2016-12-02,1024
226,2016-12-05,1030.5
227,2016-12-06,1033
228,2016-12-07,1044.5
229,2016-12-08,1033.5
230,2016-12-09,1019.5
231,2016-12-12,1096.5
232,2016-12-13,1098
233,2016-12-14,1095
234,2016-12-15,1062
235,2016-12-16,1095.5
236,2016-12-19,1106
237,2016-12-20,1107
238,2016-12-21,1119.5
239,2016-12-22,1119
240,2016-12-26,1079.5
241,2016-12-27,1077.5
242,2016-12-28,1090.5
243,2016-12-29,1102
244,2016-12-30,1131
