,date,closing price
0,2018-01-04,1817.5
1,2018-01-05,1837.5
2,2018-01-09,1862.5
3,2018-01-10,1867.5
4,2018-01-11,1890
5,2018-01-12,1880
6,2018-01-15,1840
7,2018-01-16,1837.5
8,2018-01-17,1830
9,2018-01-18,1795
10,2018-01-19,1822.5
11,2018-01-22,1820
12,2018-01-23,1837.5
13,2018-01-24,1830
14,2018-01-25,1807.5
15,2018-01-26,1782.5
16,2018-01-29,1807.5
17,2018-01-30,1785
18,2018-01-31,1740
19,2018-02-01,1782.5
20,2018-02-02,1812.5
21,2018-02-05,1817.5
22,2018-02-06,1700
23,2018-02-07,1702.5
24,2018-02-08,1757.5
25,2018-02-09,1892.5
26,2018-02-13,1905
27,2018-02-14,1827.5
28,2018-02-15,1822.5
29,2018-02-16,1835
30,2018-02-19,1885
31,2018-02-20,1887.5
32,2018-02-21,1867.5
33,2018-02-22,1860
34,2018-02-23,1910
35,2018-02-26,1872.5
36,2018-02-27,1885
37,2018-02-28,1892.5
38,2018-03-01,1877.5
39,2018-03-02,1812.5
40,2018-03-05,1765
41,2018-03-06,1792.5
42,2018-03-07,1750
43,2018-03-08,1767.5
44,2018-03-09,1792.5
45,2018-03-12,1845
46,2018-03-13,1840
47,2018-03-14,1805
48,2018-03-15,1805
49,2018-03-16,1820
50,2018-03-19,1790
51,2018-03-20,1825
52,2018-03-22,1805
53,2018-03-23,1735
54,2018-03-26,1755
55,2018-03-27,1827.5
56,2018-03-28,1820
57,2018-03-29,1792.5
58,2018-03-30,1797.5
59,2018-04-02,1805
60,2018-04-03,1790
61,2018-04-04,1812.5
62,2018-04-05,1805
63,2018-04-06,1767.5
64,2018-04-09,1772.5
65,2018-04-10,1802.5
66,2018-04-11,1862.5
67,2018-04-12,1875
68,2018-04-13,1882.5
69,2018-04-16,1892.5
70,2018-04-17,1872.5
71,2018-04-18,1895
72,2018-04-19,1902.5
73,2018-04-20,1925
74,2018-04-23,1930
75,2018-04-24,1955
76,2018-04-25,1945
77,2018-04-26,1945
78,2018-04-27,1920
79,2018-05-01,2067.5
80,2018-05-02,2097.5
81,2018-05-07,2027.5
82,2018-05-08,1982.5
83,2018-05-09,2040
84,2018-05-10,2085
85,2018-05-11,2077.5
86,2018-05-14,2110
87,2018-05-15,2097.5
88,2018-05-16,2075
89,2018-05-17,2067.5
90,2018-05-18,2070
91,2018-05-21,2052.5
92,2018-05-22,2085
93,2018-05-23,2040
94,2018-05-24,2010
95,2018-05-25,1957.5
96,2018-05-28,1992.5
97,2018-05-29,2020
98,2018-05-30,1997.5
99,2018-05-31,2000
100,2018-06-01,1987.5
101,2018-06-04,2042.5
102,2018-06-05,2072.5
103,2018-06-06,2057.5
104,2018-06-07,2092.5
105,2018-06-08,2095
106,2018-06-11,2037.5
107,2018-06-12,2070
108,2018-06-13,2072.5
109,2018-06-14,2070
110,2018-06-15,2020
111,2018-06-18,2002.5
112,2018-06-19,1945
113,2018-06-20,1945
114,2018-06-21,1920
115,2018-06-22,1902.5
116,2018-06-25,1875
117,2018-06-26,1892.5
118,2018-06-27,1882.5
119,2018-06-28,1867.5
120,2018-06-29,1832.5
121,2018-07-02,1820
122,2018-07-03,1807.5
123,2018-07-04,1765
124,2018-07-05,1747.5
125,2018-07-06,1787.5
126,2018-07-09,1792.5
127,2018-07-10,1842.5
128,2018-07-11,1800
129,2018-07-12,1785
130,2018-07-13,1797.5
131,2018-07-17,1810
132,2018-07-18,1832.5
133,2018-07-19,1860
134,2018-07-20,1860
135,2018-07-23,1812.5
136,2018-07-24,1830
137,2018-07-25,1845
138,2018-07-26,1860
139,2018-07-27,1882.5
140,2018-07-30,1905
141,2018-07-31,1900
142,2018-08-01,1957.5
143,2018-08-02,1912.5
144,2018-08-03,1912.5
145,2018-08-06,1755
146,2018-08-07,1805
147,2018-08-08,1865
148,2018-08-09,1877.5
149,2018-08-10,1817.5
150,2018-08-13,1767.5
151,2018-08-14,1810
152,2018-08-15,1775
153,2018-08-16,1765
154,2018-08-17,1775
155,2018-08-20,1750
156,2018-08-21,1750
157,2018-08-22,1747.5
158,2018-08-23,1722.5
159,2018-08-24,1697.5
160,2018-08-27,1757.5
161,2018-08-28,1790
162,2018-08-29,1832.5
163,2018-08-30,1857.5
164,2018-08-31,1872.5
165,2018-09-03,1857.5
166,2018-09-04,1850
167,2018-09-05,1855
168,2018-09-06,1862.5
169,2018-09-07,1857.5
170,2018-09-10,1860
171,2018-09-11,1815
172,2018-09-12,1770
173,2018-09-13,1795
174,2018-09-14,1820
175,2018-09-18,1835
176,2018-09-19,1880
177,2018-09-20,1870
178,2018-09-21,1897.5
179,2018-09-25,1887.5
180,2018-09-26,1853
181,2018-09-27,1825
182,2018-09-28,1853
183,2018-10-01,1826
184,2018-10-02,1821
185,2018-10-03,1780
186,2018-10-04,1774
187,2018-10-05,1735
188,2018-10-09,1693
189,2018-10-10,1694
