,date,closing price
0,2009-01-05,2100
1,2009-01-06,2100
2,2009-01-07,2065
3,2009-01-08,2010
4,2009-01-09,2020
5,2009-01-13,1971
6,2009-01-14,1963
7,2009-01-15,1915
8,2009-01-16,1895
9,2009-01-19,1877
10,2009-01-20,1849
11,2009-01-21,1829
12,2009-01-22,1931
13,2009-01-23,1868
14,2009-01-26,1882
15,2009-01-27,1935
16,2009-01-28,2010
17,2009-01-29,2055
18,2009-01-30,2040
19,2009-02-02,2105
20,2009-02-03,1978
21,2009-02-04,1953
22,2009-02-05,2000
23,2009-02-06,2090
24,2009-02-09,2090
25,2009-02-10,2100
26,2009-02-12,1950
27,2009-02-13,1970
28,2009-02-16,2040
29,2009-02-17,2010
30,2009-02-18,1912
31,2009-02-19,1906
32,2009-02-20,1894
33,2009-02-23,1876
34,2009-02-24,1859
35,2009-02-25,1856
36,2009-02-26,1680
37,2009-02-27,1591
38,2009-03-02,1533
39,2009-03-03,1555
40,2009-03-04,1601
41,2009-03-05,1604
42,2009-03-06,1601
43,2009-03-09,1590
44,2009-03-10,1534
45,2009-03-11,1592
46,2009-03-12,1573
47,2009-03-13,1605
48,2009-03-16,1518
49,2009-03-17,1568
50,2009-03-18,1539
51,2009-03-19,1541
52,2009-03-23,1576
53,2009-03-24,1698
54,2009-03-25,1750
55,2009-03-26,1722
56,2009-03-27,1707
57,2009-03-30,1664
58,2009-03-31,1648
59,2009-04-01,1678
60,2009-04-02,1779
61,2009-04-03,1752
62,2009-04-06,1763
63,2009-04-07,1841
64,2009-04-08,1783
65,2009-04-09,1769
66,2009-04-10,1745
67,2009-04-13,1712
68,2009-04-14,1686
69,2009-04-15,1728
70,2009-04-16,1747
71,2009-04-17,1719
72,2009-04-20,1742
73,2009-04-21,1708
74,2009-04-22,1730
75,2009-04-23,1732
76,2009-04-24,1681
77,2009-04-27,1672
78,2009-04-28,1626
79,2009-04-30,1655
80,2009-05-01,1656
81,2009-05-07,1715
82,2009-05-08,1766
83,2009-05-11,1823
84,2009-05-12,1653
85,2009-05-13,1701
86,2009-05-14,1670
87,2009-05-15,1644
88,2009-05-18,1682
89,2009-05-19,1664
90,2009-05-20,1690
91,2009-05-21,1679
92,2009-05-22,1677
93,2009-05-25,1748
94,2009-05-26,1792
95,2009-05-27,1770
96,2009-05-28,1758
97,2009-05-29,1779
98,2009-06-01,1789
99,2009-06-02,1773
100,2009-06-03,1740
101,2009-06-04,1701
102,2009-06-05,1712
103,2009-06-08,1712
104,2009-06-09,1719
105,2009-06-10,1729
106,2009-06-11,1703
107,2009-06-12,1710
108,2009-06-15,1721
109,2009-06-16,1694
110,2009-06-17,1703
111,2009-06-18,1713
112,2009-06-19,1741
113,2009-06-22,1724
114,2009-06-23,1697
115,2009-06-24,1709
116,2009-06-25,1706
117,2009-06-26,1726
118,2009-06-29,1715
119,2009-06-30,1728
120,2009-07-01,1718
121,2009-07-02,1719
122,2009-07-03,1698
123,2009-07-06,1702
124,2009-07-07,1714
125,2009-07-08,1705
126,2009-07-09,1677
127,2009-07-10,1663
128,2009-07-13,1702
129,2009-07-14,1673
130,2009-07-15,1665
131,2009-07-16,1656
132,2009-07-17,1669
133,2009-07-21,1680
134,2009-07-22,1686
135,2009-07-23,1689
136,2009-07-24,1712
137,2009-07-27,1741
138,2009-07-28,1755
139,2009-07-29,1750
140,2009-07-30,1756
141,2009-07-31,1720
142,2009-08-03,1724
143,2009-08-04,1746
144,2009-08-05,1756
145,2009-08-06,1758
146,2009-08-07,1770
147,2009-08-10,1818
148,2009-08-11,1908
149,2009-08-12,1903
150,2009-08-13,1900
151,2009-08-14,1942
152,2009-08-17,1998
153,2009-08-18,1958
154,2009-08-19,1994
155,2009-08-20,2040
156,2009-08-21,1990
