,date,start price,highest price,cheapest price,closing price,yield,fixed closing price
0,2017-01-04,14890,15340,14870,15200,368500,15200
1,2017-01-05,15170,15370,15030,15270,235300,15270
2,2017-01-06,15160,15370,15140,15370,195300,15370
3,2017-01-10,15430,15730,15400,15490,363600,15490
4,2017-01-11,15440,15490,15320,15400,158900,15400
5,2017-01-12,15190,15220,15010,15090,224100,15090
6,2017-01-13,15080,15220,15040,15120,185500,15120
7,2017-01-16,14920,15110,14900,14980,189700,14980
8,2017-01-17,15030,15110,14940,15000,188400,15000
9,2017-01-18,14930,15000,14820,14980,154400,14980
10,2017-01-19,15000,15050,14950,15000,110900,15000
11,2017-01-20,14910,14960,14820,14890,150300,14890
12,2017-01-23,14880,15010,14710,14890,186000,14890
13,2017-01-24,15020,15050,14770,14850,162800,14850
14,2017-01-25,14970,15020,14690,14760,209400,14760
15,2017-01-26,14860,14950,14720,14940,171900,14940
16,2017-01-27,14920,15020,14740,14810,209300,14810
17,2017-01-30,14820,14890,14770,14880,107800,14880
18,2017-01-31,14790,14880,14760,14790,113800,14790
19,2017-02-01,14740,14840,14640,14710,172200,14710
20,2017-02-02,14680,14740,14540,14580,115100,14580
21,2017-02-03,14540,14620,14350,14390,162500,14390
22,2017-02-06,14500,14540,14360,14540,121200,14540
23,2017-02-07,14460,14520,14240,14300,172900,14300
24,2017-02-08,14340,14410,14270,14360,93600,14360
25,2017-02-09,14270,14350,14130,14260,325800,14260
26,2017-02-10,14390,14670,14370,14650,126100,14650
27,2017-02-13,14790,14890,14670,14890,105600,14890
28,2017-02-14,14900,14950,14770,14780,87000,14780
29,2017-02-15,14730,14770,14630,14690,244200,14690
30,2017-02-16,14670,14670,14410,14440,193700,14440
31,2017-02-17,14410,14520,14350,14370,134500,14370
32,2017-02-20,14540,14540,14380,14520,101800,14520
33,2017-02-21,14550,14630,14470,14580,65500,14580
34,2017-02-22,14630,14630,14470,14540,86500,14540
35,2017-02-23,14570,14860,14570,14840,140600,14840
36,2017-02-24,14700,14790,14300,14310,210400,14310
37,2017-02-27,14300,14460,14210,14430,126100,14430
38,2017-02-28,14430,14620,14370,14540,150100,14540
39,2017-03-01,14640,14690,14440,14500,118400,14500
40,2017-03-02,14690,14770,14530,14730,125900,14730
41,2017-03-03,14710,14710,14490,14570,121700,14570
42,2017-03-06,14530,14560,14440,14470,65700,14470
43,2017-03-07,14470,14670,14450,14640,94800,14640
44,2017-03-08,14570,14750,14550,14700,123300,14700
45,2017-03-09,14730,14810,14690,14730,70600,14730
46,2017-03-10,14790,14880,14750,14800,99600,14800
47,2017-03-13,14780,14940,14780,14780,76400,14780
48,2017-03-14,14750,14940,14750,14920,67100,14920
49,2017-03-15,14800,14900,14780,14820,48900,14820
50,2017-03-16,14740,14930,14690,14930,80100,14930
51,2017-03-17,14830,15010,14810,14990,113500,14990
52,2017-03-21,14990,15200,14870,15170,120800,15170
53,2017-03-22,14880,15090,14880,14970,163800,14970
54,2017-03-23,14900,14940,14740,14870,101200,14870
55,2017-03-24,14710,15080,14710,15010,151500,15010
56,2017-03-27,14770,14980,14770,14830,134700,14830
57,2017-03-28,14880,14980,14860,14890,88400,14890
58,2017-03-29,14920,15050,14900,15040,86300,15040
59,2017-03-30,14940,15070,14720,14740,117400,14740
