,date,start price,highest price,cheapest price,closing price,yield,fixed closing price
0,2016-01-04,205,206,201,201,1186000,1005
1,2016-01-05,199,203,198,199,2181000,995
2,2016-01-06,202,204,196,200,1878000,1000
3,2016-01-07,197,198,193,194,2221000,970
4,2016-01-08,191,196,190,193,2182000,965
5,2016-01-12,190,191,185,185,2499000,925
6,2016-01-13,187,193,187,188,1699000,940
7,2016-01-14,185,185,180,184,1616000,920
8,2016-01-15,187,189,183,184,1752000,920
9,2016-01-18,179,183,178,182,1342000,910
10,2016-01-19,183,188,181,182,1780000,910
11,2016-01-20,183,183,177,177,2106000,885
12,2016-01-21,176,179,168,170,2581000,850
13,2016-01-22,174,179,172,178,1542000,890
14,2016-01-25,180,184,179,182,1501000,910
15,2016-01-26,179,179,175,177,1568000,885
16,2016-01-27,180,185,180,184,1598000,920
17,2016-01-28,183,185,180,182,1300000,910
18,2016-01-29,183,190,180,190,2846000,950
19,2016-02-01,192,194,189,192,1834000,960
20,2016-02-02,190,192,188,189,1421000,945
21,2016-02-03,184,184,179,184,1892000,920
22,2016-02-04,181,183,177,178,1920000,890
23,2016-02-05,174,180,165,167,3895000,835
24,2016-02-08,162,167,161,164,4499000,820
25,2016-02-09,161,161,157,158,3488000,790
26,2016-02-10,159,159,145,151,3947000,755
27,2016-02-12,145,150,144,145,3955000,725
28,2016-02-15,153,159,151,154,2568000,770
29,2016-02-16,154,162,154,157,2553000,785
30,2016-02-17,155,160,149,153,2898000,765
31,2016-02-18,158,162,156,158,1897000,790
32,2016-02-19,157,157,150,152,3014000,760
33,2016-02-22,151,155,149,151,2620000,755
34,2016-02-23,153,156,149,151,2296000,755
35,2016-02-24,149,153,149,152,2537000,760
36,2016-02-25,155,161,154,159,2773000,795
37,2016-02-26,160,163,156,157,1834000,785
38,2016-02-29,155,156,150,150,4226000,750
39,2016-03-01,150,152,149,152,2341000,760
40,2016-03-02,154,160,153,160,4288000,800
41,2016-03-03,159,162,158,162,2332000,810
42,2016-03-04,163,164,161,163,2381000,815
43,2016-03-07,163,168,163,166,2624000,830
44,2016-03-08,166,169,161,164,2332000,820
45,2016-03-09,162,163,159,162,1527000,810
46,2016-03-10,165,167,162,167,1335000,835
47,2016-03-11,162,168,162,165,2688000,825
48,2016-03-14,167,169,165,168,1810000,840
49,2016-03-15,168,168,164,165,1820000,825
50,2016-03-16,163,165,163,163,1187000,815
51,2016-03-17,164,166,162,163,1663000,815
52,2016-03-18,165,166,162,164,2240000,820
53,2016-03-22,165,168,165,167,1787000,835
54,2016-03-23,167,170,166,169,2019000,845
55,2016-03-24,168,170,166,167,1613000,835
56,2016-03-25,169,172,167,169,1861000,845
57,2016-03-28,171,173,168,171,1671000,855
58,2016-03-29,168,171,168,170,1220000,850
59,2016-03-30,170,170,163,165,1719000,825
60,2016-03-31,166,169,164,164,1605000,820
61,2016-04-01,163,164,155,155,2536000,775
62,2016-04-04,155,159,153,156,1982000,780
63,2016-04-05,157,158,152,152,1758000,760
64,2016-04-06,152,154,150,152,1561000,760
65,2016-04-07,153,156,151,152,1539000,760
66,2016-04-08,148,155,148,153,1557000,765
67,2016-04-11,153,155,150,154,1310000,770
68,2016-04-12,154,159,154,158,1527000,790
69,2016-04-13,161,162,158,162,2246000,810
70,2016-04-14,163,167,162,167,2340000,835
71,2016-04-15,164,167,164,165,746000,825
72,2016-04-18,161,162,159,160,1369000,800
73,2016-04-19,164,165,163,165,699000,825
74,2016-04-20,168,168,165,165,969000,825
75,2016-04-21,168,169,166,167,1498000,835
76,2016-04-22,166,170,165,170,1651000,850
77,2016-04-25,172,172,170,171,1061000,855
78,2016-04-26,169,170,165,168,827000,840
79,2016-04-27,168,171,166,170,819000,850
80,2016-04-28,171,172,166,167,1532000,835
81,2016-05-02,162,162,158,160,1621000,800
82,2016-05-06,163,163,158,161,1118000,805
83,2016-05-09,161,165,161,164,1013000,820
84,2016-05-10,165,177,163,177,3734000,885
85,2016-05-11,174,177,168,173,3273000,865
86,2016-05-12,169,172,168,171,2056000,855
87,2016-05-13,170,173,168,170,1723000,850
88,2016-05-16,171,172,168,168,875000,840
89,2016-05-17,170,171,168,171,1401000,855
90,2016-05-18,170,175,170,174,1661000,870
91,2016-05-19,174,175,171,172,853000,860
92,2016-05-20,173,178,173,175,2911000,875
93,2016-05-23,175,175,172,175,1684000,875
94,2016-05-24,174,177,174,176,1034000,880
95,2016-05-25,176,177,175,175,1249000,875
96,2016-05-26,176,178,174,176,1851000,880
97,2016-05-27,176,179,176,178,822000,890
98,2016-05-30,178,181,178,180,913000,900
99,2016-05-31,179,181,178,178,1909000,890
100,2016-06-01,177,180,176,180,1465000,900
101,2016-06-02,179,179,173,173,1406000,865
102,2016-06-03,173,177,171,174,2022000,870
103,2016-06-06,172,177,171,175,1744000,875
104,2016-06-07,176,178,175,176,823000,880
105,2016-06-08,176,180,176,178,1552000,890
106,2016-06-09,178,178,176,177,1020000,885
107,2016-06-10,177,178,174,176,1760000,880
108,2016-06-13,173,173,168,168,1229000,840
109,2016-06-14,167,169,165,167,1370000,835
110,2016-06-15,166,169,165,166,1011000,830
111,2016-06-16,166,166,159,161,1252000,805
112,2016-06-17,162,165,160,161,1797000,805
113,2016-06-20,166,171,165,170,1587000,850
114,2016-06-21,169,172,166,171,1386000,855
115,2016-06-22,170,170,167,167,956000,835
116,2016-06-23,166,169,165,168,869000,840
117,2016-06-24,172,172,157,158,1724000,790
118,2016-06-27,160,163,156,161,1468000,805
119,2016-06-28,159,161,155,158,1560000,790
120,2016-06-29,161,164,160,163,1409000,815
121,2016-06-30,167,167,161,161,1085000,805
122,2016-07-01,162,163,160,161,929000,805
123,2016-07-04,160,164,158,161,880000,805
124,2016-07-05,158,161,158,160,1682000,800
125,2016-07-06,157,163,157,163,1953000,815
126,2016-07-07,162,164,160,161,953000,805
127,2016-07-08,163,163,158,158,1005000,790
128,2016-07-11,162,166,162,165,1696000,825
129,2016-07-12,167,170,165,167,1617000,835
130,2016-07-13,172,173,170,171,1764000,855
131,2016-07-14,170,173,170,172,680000,860
132,2016-07-15,173,175,171,171,1521000,855
133,2016-07-19,174,175,172,175,785000,875
134,2016-07-20,174,174,170,173,1309000,865
135,2016-07-21,175,176,172,172,994000,860
136,2016-07-22,170,174,170,173,1652000,865
137,2016-07-25,174,176,173,175,1150000,875
138,2016-07-26,174,174,171,172,1015000,860
139,2016-07-27,174,176,172,174,1513000,870
140,2016-07-28,172,172,171,171,918000,855
141,2016-07-29,171,171,167,169,1879000,845
142,2016-08-01,167,169,163,167,2191000,835
143,2016-08-02,165,166,160,160,1936000,800
144,2016-08-03,158,161,157,160,3012000,800
145,2016-08-04,160,163,160,161,1716000,805
146,2016-08-05,161,164,158,159,1946000,795
147,2016-08-08,160,161,157,159,3699000,795
148,2016-08-09,158,161,158,160,3026000,800
149,2016-08-10,159,159,155,155,1748000,775
150,2016-08-12,156,156,154,156,2703000,780
151,2016-08-15,155,156,154,155,943000,775
152,2016-08-16,153,155,150,150,2638000,750
153,2016-08-17,150,152,149,151,2878000,755
154,2016-08-18,149,149,145,146,4375000,730
155,2016-08-19,146,149,146,148,2887000,740
156,2016-08-22,147,147,145,146,2849000,730
157,2016-08-23,146,146,142,142,3409000,710
158,2016-08-24,143,146,143,146,1702000,730
159,2016-08-25,146,147,145,146,1372000,730
160,2016-08-26,146,147,144,146,1424000,730
161,2016-08-29,149,151,149,150,1907000,750
162,2016-08-30,150,151,148,149,1914000,745
163,2016-08-31,151,152,150,152,1317000,760
164,2016-09-01,152,154,151,153,1793000,765
165,2016-09-02,154,154,152,153,1068000,765
166,2016-09-05,155,157,155,156,1773000,780
167,2016-09-06,157,157,156,157,1192000,785
168,2016-09-07,156,158,155,158,2239000,790
169,2016-09-08,158,158,155,156,1713000,780
170,2016-09-09,155,158,155,156,1897000,780
171,2016-09-12,153,154,150,150,4317000,750
172,2016-09-13,152,154,150,152,2213000,760
173,2016-09-14,150,153,150,152,2148000,760
174,2016-09-15,151,153,150,152,1622000,760
175,2016-09-16,152,152,149,150,2737000,750
176,2016-09-20,151,153,151,151,1543000,755
177,2016-09-21,150,152,149,152,3054000,760
178,2016-09-23,152,154,151,154,2227000,770
179,2016-09-26,154,155,153,153,1587000,765
180,2016-09-27,153,156,151,156,3742000,780
181,2016-09-28,153,154,152,153,1239000,765
182,2016-09-29,155,158,154,158,2938000,790
183,2016-09-30,155,156,154,156,1312000,780
184,2016-10-03,158,159,156,156,1791000,780
185,2016-10-04,157,157,156,157,619000,785
186,2016-10-05,157,160,157,159,2803000,795
187,2016-10-06,160,162,159,160,2569000,800
188,2016-10-07,160,161,159,159,1340000,795
189,2016-10-11,162,165,161,164,3389000,820
190,2016-10-12,162,167,162,166,3491000,830
191,2016-10-13,168,170,166,168,3787000,840
192,2016-10-14,167,168,165,168,2101000,840
193,2016-10-17,169,171,168,171,2736000,855
194,2016-10-18,171,171,168,171,1928000,855
195,2016-10-19,170,172,169,171,1837000,855
196,2016-10-20,171,174,171,172,2336000,860
197,2016-10-21,173,174,172,174,1011000,870
198,2016-10-24,174,174,172,173,945000,865
199,2016-10-25,174,175,171,173,1778000,865
200,2016-10-26,171,173,170,173,2800000,865
201,2016-10-27,172,174,172,173,1924000,865
202,2016-10-28,173,174,172,172,1038000,860
203,2016-10-31,171,173,171,173,878000,865
204,2016-11-01,172,174,171,174,2005000,870
205,2016-11-02,172,174,164,168,3532000,840
206,2016-11-04,166,170,165,168,2664000,840
207,2016-11-07,169,172,169,172,2401000,860
208,2016-11-08,173,174,172,174,2016000,870
209,2016-11-09,174,174,160,164,4278000,820
210,2016-11-10,171,173,170,172,2027000,860
211,2016-11-11,174,177,171,173,3970000,865
212,2016-11-14,174,177,173,177,1920000,885
213,2016-11-15,178,180,177,179,1999000,895
214,2016-11-16,180,182,180,181,1823000,905
215,2016-11-17,180,184,180,184,1593000,920
216,2016-11-18,187,189,186,187,2536000,935
217,2016-11-21,188,189,186,187,1180000,935
218,2016-11-22,187,188,185,187,1383000,935
219,2016-11-24,190,191,189,191,1663000,955
220,2016-11-25,190,190,186,190,2611000,950
221,2016-11-28,188,190,187,190,2027000,950
222,2016-11-29,188,190,188,190,1427000,950
223,2016-11-30,189,190,188,189,1425000,945
224,2016-12-01,191,196,191,195,3943000,975
225,2016-12-02,194,195,192,194,1717000,970
226,2016-12-05,195,196,193,195,2163000,975
227,2016-12-06,197,199,196,199,2034000,995
228,2016-12-07,200,202,199,200,2464000,1000
229,2016-12-08,202,202,199,201,2707000,1005
230,2016-12-09,200,201,199,201,2918000,1005
231,2016-12-12,203,205,200,202,2749000,1010
232,2016-12-13,201,204,201,203,2169000,1015
233,2016-12-14,203,203,199,201,1206000,1005
234,2016-12-15,202,203,200,203,3142000,1015
235,2016-12-16,203,205,202,203,2153000,1015
236,2016-12-19,201,202,198,200,2652000,1000
237,2016-12-20,201,202,199,202,1593000,1010
238,2016-12-21,202,202,200,201,1730000,1005
239,2016-12-22,199,201,199,201,816000,1005
240,2016-12-26,199,200,198,199,1236000,995
241,2016-12-27,199,201,198,199,2813000,995
242,2016-12-28,199,200,199,200,655000,1000
243,2016-12-29,198,199,195,197,1545000,985
244,2016-12-30,195,197,194,197,974000,985
