,date,closing price
0,2018-01-04,2264
1,2018-01-05,2223
2,2018-01-09,2209
3,2018-01-10,2176
4,2018-01-11,2141
5,2018-01-12,2165
6,2018-01-15,2154
7,2018-01-16,2157
8,2018-01-17,2127
9,2018-01-18,2102
10,2018-01-19,2146
11,2018-01-22,2155
12,2018-01-23,2182
13,2018-01-24,2198
14,2018-01-25,2173
15,2018-01-26,2189
16,2018-01-29,2198
17,2018-01-30,2158
18,2018-01-31,2113
19,2018-02-01,2169
20,2018-02-02,2164
21,2018-02-05,2117
22,2018-02-06,1958
23,2018-02-07,1945
24,2018-02-08,1960
25,2018-02-09,1924
26,2018-02-13,1902
27,2018-02-14,1908
28,2018-02-15,1909
29,2018-02-16,1928
30,2018-02-19,1967
31,2018-02-20,1987
32,2018-02-21,1974
33,2018-02-22,1964
34,2018-02-23,2002
35,2018-02-26,1987
36,2018-02-27,1990
37,2018-02-28,1972
38,2018-03-01,1956
39,2018-03-02,1912
40,2018-03-05,1867
41,2018-03-06,1876
42,2018-03-07,1881
43,2018-03-08,1872
44,2018-03-09,1877
45,2018-03-12,1912
46,2018-03-13,1910
47,2018-03-14,1919
48,2018-03-15,1901
49,2018-03-16,1881
50,2018-03-19,1859
51,2018-03-20,1874
52,2018-03-22,1890
53,2018-03-23,1872
54,2018-03-26,1861
55,2018-03-27,1913
56,2018-03-28,1874
57,2018-03-29,1852
58,2018-03-30,1864
59,2018-04-02,1868
60,2018-04-03,1865
61,2018-04-04,1904
62,2018-04-05,1918
63,2018-04-06,1897
64,2018-04-09,1894
65,2018-04-10,1916
66,2018-04-11,1911
67,2018-04-12,1910
68,2018-04-13,1925
69,2018-04-16,1956
70,2018-04-17,1956
71,2018-04-18,1946
72,2018-04-19,1931
73,2018-04-20,1939
74,2018-04-23,1924
75,2018-04-24,1925
76,2018-04-25,1933
77,2018-04-26,1970
78,2018-04-27,1953
79,2018-05-01,1942
80,2018-05-02,1970
81,2018-05-07,1976
82,2018-05-08,1960
83,2018-05-09,1942
84,2018-05-10,1961
85,2018-05-11,1969
86,2018-05-14,1968
87,2018-05-15,2011
88,2018-05-16,1984
89,2018-05-17,1975
90,2018-05-18,2047
91,2018-05-21,2014
92,2018-05-22,1977
93,2018-05-23,1964
94,2018-05-24,1949
95,2018-05-25,1946
96,2018-05-28,2040
97,2018-05-29,2082
98,2018-05-30,2070
99,2018-05-31,2076
100,2018-06-01,2101
101,2018-06-04,2124
102,2018-06-05,2191
103,2018-06-06,2190
104,2018-06-07,2216
105,2018-06-08,2203
106,2018-06-11,2209
107,2018-06-12,2164
108,2018-06-13,2232
109,2018-06-14,2232
110,2018-06-15,2203
111,2018-06-18,2292
112,2018-06-19,2259
113,2018-06-20,2249
114,2018-06-21,2183
115,2018-06-22,2277
116,2018-06-25,2288
117,2018-06-26,2257
118,2018-06-27,2340
119,2018-06-28,2336
120,2018-06-29,2299
121,2018-07-02,2240
122,2018-07-03,2178
123,2018-07-04,2214
124,2018-07-05,2158
125,2018-07-06,2196
126,2018-07-09,2170
127,2018-07-10,2155
128,2018-07-11,2137
129,2018-07-12,2105
130,2018-07-13,2102
131,2018-07-17,2096
132,2018-07-18,2125
133,2018-07-19,2091
134,2018-07-20,2069
135,2018-07-23,2049
136,2018-07-24,2036
137,2018-07-25,2066
138,2018-07-26,2082
139,2018-07-27,2087
140,2018-07-30,2092
141,2018-07-31,2064
142,2018-08-01,2036
143,2018-08-02,2002
144,2018-08-03,2085
145,2018-08-06,2066
146,2018-08-07,2053
147,2018-08-08,2084
148,2018-08-09,2072
149,2018-08-10,2058
150,2018-08-13,2058
151,2018-08-14,2095
152,2018-08-15,2090
153,2018-08-16,2053
154,2018-08-17,2035
155,2018-08-20,2024
156,2018-08-21,1986
157,2018-08-22,1938
158,2018-08-23,1979
159,2018-08-24,2001
160,2018-08-27,2001
161,2018-08-28,1994
162,2018-08-29,1993
163,2018-08-30,1972
164,2018-08-31,1972
165,2018-09-03,1928
166,2018-09-04,1931
167,2018-09-05,1927
168,2018-09-06,1902
169,2018-09-07,1879
170,2018-09-10,1865
171,2018-09-11,1858
172,2018-09-12,1848
173,2018-09-13,1858
174,2018-09-14,1907
175,2018-09-18,1989
176,2018-09-19,2016
177,2018-09-20,2004
178,2018-09-21,2009
179,2018-09-25,2093
180,2018-09-26,2143
181,2018-09-27,2126
182,2018-09-28,2122
183,2018-10-01,2113
184,2018-10-02,2117
185,2018-10-03,2104
186,2018-10-04,2090
187,2018-10-05,2155
188,2018-10-09,2198
189,2018-10-10,2156
190,2018-10-11,2003
191,2018-10-12,2037
192,2018-10-15,1925
193,2018-10-16,1931
194,2018-10-17,1927
195,2018-10-18,1878
196,2018-10-19,1873
197,2018-10-22,1834
198,2018-10-23,1779
199,2018-10-24,1824
200,2018-10-25,1772
201,2018-10-26,1781
202,2018-10-29,1793
203,2018-10-30,1843
204,2018-10-31,1867
205,2018-11-01,1875
206,2018-11-02,1888
207,2018-11-05,1830
208,2018-11-06,1845
209,2018-11-07,1813
210,2018-11-08,1848
211,2018-11-09,1866
212,2018-11-12,1863
213,2018-11-13,1869
214,2018-11-14,1856
215,2018-11-15,1855
216,2018-11-16,1862
217,2018-11-19,1919
218,2018-11-20,1901
219,2018-11-21,1918
220,2018-11-22,1927
221,2018-11-26,1927
222,2018-11-27,1885
223,2018-11-28,1906
224,2018-11-29,1899
225,2018-11-30,1959
226,2018-12-03,1945
227,2018-12-04,1917
228,2018-12-05,1858
229,2018-12-06,1833
230,2018-12-07,1811
231,2018-12-10,1748
