,date,closing price
0,2017-04-12,2055
1,2017-04-13,2068
2,2017-04-14,2072
3,2017-04-17,2067
4,2017-04-18,2072
5,2017-04-19,2075
6,2017-04-20,2027
7,2017-04-21,2037
8,2017-04-24,2049
9,2017-04-25,2043
10,2017-04-26,2034
11,2017-04-27,2016
12,2017-04-28,2006
13,2017-05-01,1991
14,2017-05-02,2017
15,2017-05-08,2024
16,2017-05-09,2029
17,2017-05-10,2047
18,2017-05-11,2079
19,2017-05-12,2075
20,2017-05-15,2080
21,2017-05-16,2094
22,2017-05-17,2070
23,2017-05-18,2068
24,2017-05-19,2054
25,2017-05-22,2070
26,2017-05-23,2079
27,2017-05-24,2097
28,2017-05-25,2083
29,2017-05-26,2077
30,2017-05-29,2070
31,2017-05-30,2066
32,2017-05-31,2057
33,2017-06-01,2050
34,2017-06-02,2011
35,2017-06-05,1992
36,2017-06-06,2047
37,2017-06-07,2021
38,2017-06-08,2037
39,2017-06-09,2001
40,2017-06-12,2026
41,2017-06-13,2023
42,2017-06-14,2027
43,2017-06-15,2057
44,2017-06-16,2045
45,2017-06-19,2035
46,2017-06-20,2050
47,2017-06-21,2038
48,2017-06-22,2033
49,2017-06-23,2013
50,2017-06-26,2000
51,2017-06-27,2009
52,2017-06-28,2003
53,2017-06-29,2008
54,2017-06-30,2027
55,2017-07-03,2016
56,2017-07-04,2017
57,2017-07-05,2011
58,2017-07-06,2015
59,2017-07-07,2000
60,2017-07-10,2003
61,2017-07-11,2004
62,2017-07-12,1989
63,2017-07-13,1979
64,2017-07-14,1964
65,2017-07-18,1987
66,2017-07-19,1973
67,2017-07-20,1961
68,2017-07-21,1973
69,2017-07-24,1968
70,2017-07-25,1950
71,2017-07-26,1938
72,2017-07-27,1937
73,2017-07-28,1959
74,2017-07-31,1945
75,2017-08-01,1930
76,2017-08-02,1922
77,2017-08-03,1913
78,2017-08-04,1905
79,2017-08-07,1917
80,2017-08-08,1907
81,2017-08-09,1873
82,2017-08-10,1848
83,2017-08-14,1862
84,2017-08-15,1850
85,2017-08-16,1852
86,2017-08-17,1884
87,2017-08-18,1885
88,2017-08-21,1911
89,2017-08-22,1971
90,2017-08-23,1979
91,2017-08-24,1940
92,2017-08-25,1948
93,2017-08-28,1992
94,2017-08-29,1970
95,2017-08-30,1966
96,2017-08-31,1958
97,2017-09-01,1976
98,2017-09-04,1980
99,2017-09-05,1982
100,2017-09-06,1975
101,2017-09-07,1960
102,2017-09-08,1939
103,2017-09-11,1946
104,2017-09-12,1950
105,2017-09-13,1950
106,2017-09-14,1950
107,2017-09-15,1956
108,2017-09-19,1938
109,2017-09-20,1908
110,2017-09-21,1864
111,2017-09-22,1887
112,2017-09-25,1873
113,2017-09-26,1876
114,2017-09-27,1871
115,2017-09-28,1874
116,2017-09-29,1874
117,2017-10-02,1915
118,2017-10-03,1895
119,2017-10-04,1867
120,2017-10-05,1850
121,2017-10-06,1850
122,2017-10-10,1832
123,2017-10-11,1831
124,2017-10-12,1832
125,2017-10-13,1815
126,2017-10-16,1829
127,2017-10-17,1844
128,2017-10-18,1842
129,2017-10-19,1810
130,2017-10-20,1810
131,2017-10-23,1819
132,2017-10-24,1819
133,2017-10-25,1812
134,2017-10-26,1811
135,2017-10-27,1806
136,2017-10-30,1802
137,2017-10-31,1812
138,2017-11-01,1801
139,2017-11-02,1771
140,2017-11-06,1808
141,2017-11-07,1777
142,2017-11-08,1730
143,2017-11-09,1727
144,2017-11-10,1730
145,2017-11-13,1732
146,2017-11-15,1712
147,2017-11-16,1704
148,2017-11-17,1730
149,2017-11-20,1780
150,2017-11-21,1792
151,2017-11-22,1795
152,2017-11-24,1791
153,2017-11-27,1817
154,2017-11-28,1817
155,2017-11-29,1780
156,2017-11-30,1780
157,2017-12-01,1805
158,2017-12-04,1805
159,2017-12-05,1836
160,2017-12-06,1826
161,2017-12-07,1866
162,2017-12-08,1922
163,2017-12-11,1949
164,2017-12-12,1962
165,2017-12-13,1960
166,2017-12-14,1955
167,2017-12-15,1916
168,2017-12-18,1902
169,2017-12-19,1901
170,2017-12-20,1918
171,2017-12-21,1910
172,2017-12-22,1910
173,2017-12-25,1916
174,2017-12-26,1910
175,2017-12-27,1896
176,2017-12-28,1914
177,2017-12-29,1939
