,date,closing price
0,2017-01-04,2143
1,2017-01-05,2128
2,2017-01-06,2139
3,2017-01-10,2120
4,2017-01-11,2109
5,2017-01-12,2094
6,2017-01-13,2077
7,2017-01-16,2049
8,2017-01-17,2024
9,2017-01-18,2030
10,2017-01-19,2076
11,2017-01-20,2053
12,2017-01-23,2011
13,2017-01-24,2012
14,2017-01-25,2020
15,2017-01-26,2034
16,2017-01-27,2028
17,2017-01-30,2051
18,2017-01-31,2043
19,2017-02-01,2046
20,2017-02-02,2043
21,2017-02-03,2110
22,2017-02-06,2126
23,2017-02-07,2131
24,2017-02-08,2137
25,2017-02-09,2130
26,2017-02-10,2153
27,2017-02-13,2179
28,2017-02-14,2160
29,2017-02-15,2153
30,2017-02-16,2162
31,2017-02-17,2167
32,2017-02-20,2136
33,2017-02-21,2149
34,2017-02-22,2164
35,2017-02-23,2186
36,2017-02-24,2185
37,2017-02-27,2165
38,2017-02-28,2173
39,2017-03-01,2178
40,2017-03-02,2217
41,2017-03-03,2208
42,2017-03-06,2194
43,2017-03-07,2190
44,2017-03-08,2184
45,2017-03-09,2165
46,2017-03-10,2210
47,2017-03-13,2214
48,2017-03-14,2208
49,2017-03-15,2188
50,2017-03-16,2176
51,2017-03-17,2156
52,2017-03-21,2166
53,2017-03-22,2132
54,2017-03-23,2125
55,2017-03-24,2126
56,2017-03-27,2103
57,2017-03-28,2128
58,2017-03-29,2063
59,2017-03-30,2055
60,2017-03-31,2007
61,2017-04-03,2047
62,2017-04-04,2055
63,2017-04-05,2092
64,2017-04-06,2042
65,2017-04-07,2133
66,2017-04-10,2096
67,2017-04-11,2053
68,2017-04-12,2048
69,2017-04-13,2034
70,2017-04-14,2010
71,2017-04-17,2034
72,2017-04-18,2030
73,2017-04-19,2018
74,2017-04-20,2030
75,2017-04-21,2048
76,2017-04-24,2067
77,2017-04-25,2087
78,2017-04-26,2108
79,2017-04-27,2108
80,2017-04-28,2092
81,2017-05-01,2086
82,2017-05-02,2103
83,2017-05-08,2165
84,2017-05-09,2170
85,2017-05-10,2170
86,2017-05-11,2170
87,2017-05-12,2157
88,2017-05-15,2038
89,2017-05-16,2052
90,2017-05-17,2061
91,2017-05-18,2039
92,2017-05-19,2032
93,2017-05-22,2047
94,2017-05-23,2048
95,2017-05-24,2051
96,2017-05-25,2040
97,2017-05-26,2026
98,2017-05-29,2023
99,2017-05-30,2005
100,2017-05-31,2007
101,2017-06-01,2027
102,2017-06-02,2040
103,2017-06-05,2047
104,2017-06-06,2039
105,2017-06-07,2039
106,2017-06-08,2013
107,2017-06-09,2021
108,2017-06-12,2018
